date,from_currency,to_currency,rate
2024-02-01,JPY,USD,0.00674
2024-02-01,BRL,USD,0.20106
2024-02-01,GBP,USD,1.273353
2024-02-02,EUR,USD,1.080395
2024-02-02,JPY,USD,0.006673
2024-02-02,BRL,USD,0.201507
2024-02-02,GBP,USD,1.269343
2024-02-03,EUR,USD,1.090772
2024-02-03,JPY,USD,0.006762
2024-02-03,BRL,USD,0.198601
2024-02-03,GBP,USD,1.276989
2024-02-04,EUR,USD,1.07322
2024-02-04,JPY,USD,0.006767
2024-02-04,BRL,USD,0.200021
2024-02-04,GBP,USD,1.265771
2024-02-05,EUR,USD,1.073652
2024-02-05,JPY,USD,0.006698
2024-02-05,BRL,USD,0.200521
2024-02-05,GBP,USD,1.270968
2024-02-06,EUR,USD,1.07695
2024-02-06,JPY,USD,0.006733
2024-02-06,BRL,USD,0.198684
2024-02-06,GBP,USD,1.272315
2024-02-07,EUR,USD,1.075208
2024-02-07,JPY,USD,0.006697
2024-02-07,BRL,USD,0.199549
2024-02-07,GBP,USD,1.267534
2024-02-08,EUR,USD,1.088839
2024-02-08,JPY,USD,0.006697
2024-02-08,BRL,USD,0.199724
2024-02-08,GBP,USD,1.275477
2024-02-09,EUR,USD,1.083144
2024-02-09,JPY,USD,0.006664
2024-02-09,BRL,USD,0.199784
2024-02-09,GBP,USD,1.264818
2024-02-10,EUR,USD,1.082078
2024-02-10,JPY,USD,0.006671
2024-02-10,BRL,USD,0.198712
2024-02-10,GBP,USD,1.254245
2024-02-11,EUR,USD,1.071663
2024-02-11,JPY,USD,0.00667
2024-02-11,BRL,USD,0.199764
2024-02-11,GBP,USD,1.260424
2024-02-12,EUR,USD,1.086041
2024-02-12,JPY,USD,0.006706
2024-02-12,BRL,USD,0.201711
2024-02-12,GBP,USD,1.26772
2024-02-13,EUR,USD,1.08116
2024-02-13,JPY,USD,0.006657
2024-02-13,BRL,USD,0.199763
2024-02-13,GBP,USD,1.261731
2024-02-14,EUR,USD,1.083642
2024-02-14,JPY,USD,0.006741
2024-02-14,BRL,USD,0.198599
2024-02-14,GBP,USD,1.261676
2024-02-15,EUR,USD,1.084888
2024-02-15,JPY,USD,0.006741
2024-02-15,BRL,USD,0.202386
2024-02-15,GBP,USD,1.273045
2024-02-16,EUR,USD,1.080814
2024-02-16,JPY,USD,0.006704
2024-02-16,BRL,USD,0.199777
2024-02-16,GBP,USD,1.273351
2024-02-17,EUR,USD,1.077973
2024-02-17,JPY,USD,0.006668
2024-02-17,BRL,USD,0.200352
2024-02-17,GBP,USD,1.255885
2024-02-18,EUR,USD,1.086144
2024-02-18,JPY,USD,0.006661
2024-02-18,BRL,USD,0.200504
2024-02-18,GBP,USD,1.27132
2024-02-19,EUR,USD,1.081268
2024-02-19,JPY,USD,0.006729
2024-02-19,BRL,USD,0.19936
2024-02-19,GBP,USD,1.263396
2024-02-20,EUR,USD,1.078701
2024-02-20,JPY,USD,0.006719
2024-02-20,BRL,USD,0.200779
2024-02-20,GBP,USD,1.266951
2024-02-21,EUR,USD,1.074342
2024-02-21,JPY,USD,0.006746
2024-02-21,BRL,USD,0.199739
2024-02-21,GBP,USD,1.261034
2024-02-22,EUR,USD,1.077416
2024-02-22,JPY,USD,0.006657
2024-02-22,BRL,USD,0.200267
2024-02-22,GBP,USD,1.274467
2024-02-23,EUR,USD,1.0764
2024-02-23,JPY,USD,0.006691
2024-02-23,BRL,USD,0.200828
2024-02-23,GBP,USD,1.269096
2024-02-24,EUR,USD,1.079107
2024-02-24,JPY,USD,0.006722
2024-02-24,BRL,USD,0.199756
2024-02-24,GBP,USD,1.264675
2024-02-25,EUR,USD,1.072682
2024-02-25,JPY,USD,0.006763
2024-02-25,BRL,USD,0.200225
2024-02-25,GBP,USD,1.265129
2024-02-26,EUR,USD,1.085849
2024-02-26,JPY,USD,0.006735
2024-02-26,BRL,USD,0.197963
2024-02-26,GBP,USD,1.282196
2024-02-27,EUR,USD,1.085594
2024-02-27,JPY,USD,0.006624
2024-02-27,BRL,USD,0.200279
2024-02-27,GBP,USD,1.265046
2024-02-28,EUR,USD,1.077998
2024-02-28,JPY,USD,0.006752
2024-02-28,BRL,USD,0.199385
2024-02-28,GBP,USD,1.275643
2024-02-29,EUR,USD,1.07975
2024-02-29,JPY,USD,0.006738
2024-02-29,BRL,USD,0.200369
2024-02-29,GBP,USD,1.277542
2024-03-01,EUR,USD,1.087608
2024-03-01,JPY,USD,0.006679
2024-03-01,BRL,USD,0.2009
2024-03-01,GBP,USD,1.27667
2024-03-02,EUR,USD,1.07656
2024-03-02,JPY,USD,0.006687
2024-03-02,BRL,USD,0.199406
2024-03-02,GBP,USD,1.263156
2024-03-03,EUR,USD,1.078852
2024-03-03,JPY,USD,0.006692
2024-03-03,BRL,USD,0.19864
2024-03-03,GBP,USD,1.275231
2024-03-04,EUR,USD,1.08748
2024-03-04,JPY,USD,0.006734
2024-03-04,BRL,USD,0.201264
2024-03-04,GBP,USD,1.270261
2024-03-05,EUR,USD,1.084981
2024-03-05,JPY,USD,0.006685
2024-03-05,BRL,USD,0.201884
2024-03-05,GBP,USD,1.264825
2024-03-06,EUR,USD,1.076434
2024-03-06,JPY,USD,0.006703
2024-03-06,BRL,USD,0.200858
2024-03-06,GBP,USD,1.268744
2024-03-07,EUR,USD,1.072824
2024-03-07,JPY,USD,0.006642
2024-03-07,BRL,USD,0.201106
2024-03-07,GBP,USD,1.274422
2024-03-08,EUR,USD,1.071556
2024-03-08,JPY,USD,0.006688
2024-03-08,BRL,USD,0.202038
2024-03-08,GBP,USD,1.264559
2024-03-09,EUR,USD,1.085067
2024-03-09,JPY,USD,0.006762
2024-03-09,BRL,USD,0.20101
2024-03-09,GBP,USD,1.282737
2024-03-10,EUR,USD,1.085431
2024-03-10,JPY,USD,0.006699
2024-03-10,BRL,USD,0.197652
2024-03-10,GBP,USD,1.270433
2024-03-11,EUR,USD,1.091977
2024-03-11,JPY,USD,0.006682
2024-03-11,BRL,USD,0.200098
2024-03-11,GBP,USD,1.269394
2024-03-12,EUR,USD,1.077658
2024-03-12,JPY,USD,0.006693
2024-03-12,BRL,USD,0.200814
2024-03-12,GBP,USD,1.269446
2024-03-13,EUR,USD,1.086745
2024-03-13,JPY,USD,0.006697
2024-03-13,BRL,USD,0.19764
2024-03-13,GBP,USD,1.270574
2024-03-14,EUR,USD,1.083599
2024-03-14,JPY,USD,0.00667
2024-03-14,BRL,USD,0.200172
2024-03-14,GBP,USD,1.272906
2024-03-15,EUR,USD,1.083127
2024-03-15,JPY,USD,0.006732
2024-03-15,BRL,USD,0.199971
2024-03-15,GBP,USD,1.274072
2024-03-16,EUR,USD,1.079198
2024-03-16,JPY,USD,0.006641
2024-03-16,BRL,USD,0.198468
2024-03-16,GBP,USD,1.265586
2024-03-17,EUR,USD,1.084798
2024-03-17,JPY,USD,0.006759
2024-03-17,BRL,USD,0.201495
2024-03-17,GBP,USD,1.262831
2024-03-18,EUR,USD,1.07771
2024-03-18,JPY,USD,0.006699
2024-03-18,BRL,USD,0.199689
2024-03-18,GBP,USD,1.266452
2024-03-19,EUR,USD,1.08303
2024-03-19,JPY,USD,0.006723
2024-03-19,BRL,USD,0.20001
2024-03-19,GBP,USD,1.274936
2024-03-20,EUR,USD,1.080821
2024-03-20,JPY,USD,0.006756
2024-03-20,BRL,USD,0.200813
2024-03-20,GBP,USD,1.268467
2024-03-21,EUR,USD,1.079861
2024-03-21,JPY,USD,0.006695
2024-03-21,BRL,USD,0.199126
2024-03-21,GBP,USD,1.261977
2024-03-22,EUR,USD,1.082505
2024-03-22,JPY,USD,0.006706
2024-03-22,BRL,USD,0.199644
2024-03-22,GBP,USD,1.276067
2024-03-23,EUR,USD,1.068534
2024-03-23,JPY,USD,0.006699
2024-03-23,BRL,USD,0.199752
2024-03-23,GBP,USD,1.264751
2024-03-24,EUR,USD,1.088897
2024-03-24,JPY,USD,0.00675
2024-03-24,BRL,USD,0.199614
2024-03-24,GBP,USD,1.27842
2024-03-25,EUR,USD,1.080557
2024-03-25,JPY,USD,0.006718
2024-03-25,BRL,USD,0.200948
2024-03-25,GBP,USD,1.278648
2024-03-26,EUR,USD,1.075592
2024-03-26,JPY,USD,0.006679
2024-03-26,BRL,USD,0.198925
2024-03-26,GBP,USD,1.267819
2024-03-27,EUR,USD,1.072244
2024-03-27,JPY,USD,0.006688
2024-03-27,BRL,USD,0.200149
2024-03-27,GBP,USD,1.274694
2024-03-28,EUR,USD,1.080327
2024-03-28,JPY,USD,0.006632
2024-03-28,BRL,USD,0.200947
2024-03-28,GBP,USD,1.273399
2024-03-29,EUR,USD,1.079376
2024-03-29,JPY,USD,0.006687
2024-03-29,BRL,USD,0.199672
2024-03-29,GBP,USD,1.26911
2024-03-30,EUR,USD,1.073877
2024-03-30,JPY,USD,0.006688
2024-03-30,BRL,USD,0.199489
2024-03-30,GBP,USD,1.268404
2024-03-31,EUR,USD,1.076915
2024-03-31,JPY,USD,0.006736
2024-03-31,BRL,USD,0.200505
2024-03-31,GBP,USD,1.272873
2024-04-01,EUR,USD,1.077956
2024-04-01,JPY,USD,0.006693
2024-04-01,BRL,USD,0.198185
2024-04-01,GBP,USD,1.269248
2024-04-02,EUR,USD,1.073795
2024-04-02,JPY,USD,0.006712
2024-04-02,BRL,USD,0.199668
2024-04-02,GBP,USD,1.270587
2024-04-03,EUR,USD,1.070479
2024-04-03,JPY,USD,0.006714
2024-04-03,BRL,USD,0.199832
2024-04-03,GBP,USD,1.263714
2024-04-04,EUR,USD,1.083624
2024-04-04,JPY,USD,0.006649
2024-04-04,BRL,USD,0.199732
2024-04-04,GBP,USD,1.269087
2024-04-05,EUR,USD,1.078903
2024-04-05,JPY,USD,0.00671
2024-04-05,BRL,USD,0.202334
2024-04-05,GBP,USD,1.269453
2024-04-06,EUR,USD,1.091418
2024-04-06,JPY,USD,0.006733
2024-04-06,BRL,USD,0.201005
2024-04-06,GBP,USD,1.27129
2024-04-07,EUR,USD,1.081094
2024-04-07,JPY,USD,0.006643
2024-04-07,BRL,USD,0.201428
2024-04-07,GBP,USD,1.268758
2024-04-08,EUR,USD,1.065105
2024-04-08,JPY,USD,0.006751
2024-04-08,BRL,USD,0.198507
2024-04-08,GBP,USD,1.278628
2024-04-09,EUR,USD,1.084367
2024-04-09,JPY,USD,0.006682
2024-04-09,BRL,USD,0.199396
2024-04-09,GBP,USD,1.261473
2024-04-10,EUR,USD,1.072376
2024-04-10,JPY,USD,0.006688
2024-04-10,BRL,USD,0.199639
2024-04-10,GBP,USD,1.273254
2024-04-11,EUR,USD,1.073556
2024-04-11,JPY,USD,0.00669
2024-04-11,BRL,USD,0.199902
2024-04-11,GBP,USD,1.265536
2024-04-12,EUR,USD,1.081158
2024-04-12,JPY,USD,0.0067
2024-04-12,BRL,USD,0.199552
2024-04-12,GBP,USD,1.279066
2024-04-13,EUR,USD,1.073604
2024-04-13,JPY,USD,0.006689
2024-04-13,BRL,USD,0.200335
2024-04-13,GBP,USD,1.265711
2024-04-14,EUR,USD,1.077536
2024-04-14,JPY,USD,0.006722
2024-04-14,BRL,USD,0.201484
2024-04-14,GBP,USD,1.26609
2024-04-15,EUR,USD,1.087463
2024-04-15,JPY,USD,0.00674
2024-04-15,BRL,USD,0.19851
2024-04-15,GBP,USD,1.275259
2024-04-16,EUR,USD,1.080714
2024-04-16,JPY,USD,0.006696
2024-04-16,BRL,USD,0.200126
2024-04-16,GBP,USD,1.272818
2024-04-17,EUR,USD,1.087126
2024-04-17,JPY,USD,0.006709
2024-04-17,BRL,USD,0.199909
2024-04-17,GBP,USD,1.26808
2024-04-18,EUR,USD,1.079675
2024-04-18,JPY,USD,0.006666
2024-04-18,BRL,USD,0.200069
2024-04-18,GBP,USD,1.274423
2024-04-19,EUR,USD,1.081206
2024-04-19,JPY,USD,0.006691
2024-04-19,BRL,USD,0.199174
2024-04-19,GBP,USD,1.269872
2024-04-20,EUR,USD,1.083518
2024-04-20,JPY,USD,0.00665
2024-04-20,BRL,USD,0.199434
2024-04-20,GBP,USD,1.277781
2024-04-21,EUR,USD,1.077779
2024-04-21,JPY,USD,0.006674
2024-04-21,BRL,USD,0.199822
2024-04-21,GBP,USD,1.273346
2024-04-22,EUR,USD,1.077959
2024-04-22,JPY,USD,0.00668
2024-04-22,BRL,USD,0.199889
2024-04-22,GBP,USD,1.27214
2024-04-23,EUR,USD,1.090537
2024-04-23,JPY,USD,0.006678
2024-04-23,BRL,USD,0.201192
2024-04-23,GBP,USD,1.265303
2024-04-24,EUR,USD,1.074332
2024-04-24,JPY,USD,0.006717
2024-04-24,BRL,USD,0.202347
2024-04-24,GBP,USD,1.267378
2024-04-25,EUR,USD,1.075503
2024-04-25,JPY,USD,0.006648
2024-04-25,BRL,USD,0.199566
2024-04-25,GBP,USD,1.275984
2024-04-26,EUR,USD,1.083106
2024-04-26,JPY,USD,0.006726
2024-04-26,BRL,USD,0.200031
2024-04-26,GBP,USD,1.26281
2024-04-27,EUR,USD,1.082669
2024-04-27,JPY,USD,0.006677
2024-04-27,BRL,USD,0.199523
2024-04-27,GBP,USD,1.25891
2024-04-28,EUR,USD,1.08597
2024-04-28,JPY,USD,0.006678
2024-04-28,BRL,USD,0.201251
2024-04-28,GBP,USD,1.26837
2024-04-29,EUR,USD,1.082681
2024-04-29,JPY,USD,0.006719
2024-04-29,BRL,USD,0.200417
2024-04-29,GBP,USD,1.278769
2024-04-30,EUR,USD,1.089241
2024-04-30,JPY,USD,0.00667
2024-04-30,BRL,USD,0.201342
2024-04-30,GBP,USD,1.275597
2024-05-01,EUR,USD,1.08156
2024-05-01,JPY,USD,0.006725
2024-05-01,BRL,USD,0.199373
2024-05-01,GBP,USD,1.262343
2024-05-02,EUR,USD,1.082444
2024-05-02,JPY,USD,0.006685
2024-05-02,BRL,USD,0.200118
2024-05-02,GBP,USD,1.259834
2024-05-03,EUR,USD,1.074247
2024-05-03,JPY,USD,0.006686
2024-05-03,BRL,USD,0.200614
2024-05-03,GBP,USD,1.265821
2024-05-04,EUR,USD,1.080915
2024-05-04,JPY,USD,0.006698
2024-05-04,BRL,USD,0.202361
2024-05-04,GBP,USD,1.263751
2024-05-05,EUR,USD,1.095747
2024-05-05,JPY,USD,0.006789
2024-05-05,BRL,USD,0.199261
2024-05-05,GBP,USD,1.270625
2024-05-06,EUR,USD,1.077105
2024-05-06,JPY,USD,0.006686
2024-05-06,BRL,USD,0.201091
2024-05-06,GBP,USD,1.265909
2024-05-07,EUR,USD,1.080844
2024-05-07,JPY,USD,0.006668
2024-05-07,BRL,USD,0.199077
2024-05-07,GBP,USD,1.268743
2024-05-08,EUR,USD,1.07953
2024-05-08,JPY,USD,0.00674
2024-05-08,BRL,USD,0.199544
2024-05-08,GBP,USD,1.270049
2024-05-09,EUR,USD,1.086038
2024-05-09,JPY,USD,0.006696
2024-05-09,BRL,USD,0.201185
2024-05-09,GBP,USD,1.258102
2024-05-10,EUR,USD,1.076161
2024-05-10,JPY,USD,0.006725
2024-05-10,BRL,USD,0.199347
2024-05-10,GBP,USD,1.268281
2024-05-11,EUR,USD,1.082554
2024-05-11,JPY,USD,0.006721
2024-05-11,BRL,USD,0.201207
2024-05-11,GBP,USD,1.26667
2024-05-12,EUR,USD,1.077302
2024-05-12,JPY,USD,0.00671
2024-05-12,BRL,USD,0.19953
2024-05-12,GBP,USD,1.275442
2024-05-13,EUR,USD,1.083177
2024-05-13,JPY,USD,0.006666
2024-05-13,BRL,USD,0.199143
2024-05-13,GBP,USD,1.262032
2024-05-14,EUR,USD,1.079539
2024-05-14,JPY,USD,0.006762
2024-05-14,BRL,USD,0.201401
2024-05-14,GBP,USD,1.2681
2024-05-15,EUR,USD,1.076728
2024-05-15,JPY,USD,0.006701
2024-05-15,BRL,USD,0.20017
2024-05-15,GBP,USD,1.266286
2024-05-16,EUR,USD,1.078841
2024-05-16,JPY,USD,0.006662
2024-05-16,BRL,USD,0.201083
2024-05-16,GBP,USD,1.266041
2024-05-17,EUR,USD,1.078819
2024-05-17,JPY,USD,0.006691
2024-05-17,BRL,USD,0.201893
2024-05-17,GBP,USD,1.272594
2024-05-18,EUR,USD,1.08755
2024-05-18,JPY,USD,0.006683
2024-05-18,BRL,USD,0.200093
2024-05-18,GBP,USD,1.263478
2024-05-19,EUR,USD,1.082152
2024-05-19,JPY,USD,0.00668
2024-05-19,BRL,USD,0.199964
2024-05-19,GBP,USD,1.26917
2024-05-20,EUR,USD,1.074784
2024-05-20,JPY,USD,0.006699
2024-05-20,BRL,USD,0.198906
2024-05-20,GBP,USD,1.26365
2024-05-21,EUR,USD,1.075385
2024-05-21,JPY,USD,0.006674
2024-05-21,BRL,USD,0.199885
2024-05-21,GBP,USD,1.270056
2024-05-22,EUR,USD,1.07921
2024-05-22,JPY,USD,0.006698
2024-05-22,BRL,USD,0.199212
2024-05-22,GBP,USD,1.269065
2024-05-23,EUR,USD,1.080994
2024-05-23,JPY,USD,0.006699
2024-05-23,BRL,USD,0.200579
2024-05-23,GBP,USD,1.261231
2024-05-24,EUR,USD,1.084094
2024-05-24,JPY,USD,0.006631
2024-05-24,BRL,USD,0.200352
2024-05-24,GBP,USD,1.27178
2024-05-25,EUR,USD,1.082092
2024-05-25,JPY,USD,0.006718
2024-05-25,BRL,USD,0.198188
2024-05-25,GBP,USD,1.268069
2024-05-26,EUR,USD,1.07941
2024-05-26,JPY,USD,0.006733
2024-05-26,BRL,USD,0.199287
2024-05-26,GBP,USD,1.274639
2024-05-27,EUR,USD,1.064921
2024-05-27,JPY,USD,0.00666
2024-05-27,BRL,USD,0.200229
2024-05-27,GBP,USD,1.279529
2024-05-28,EUR,USD,1.084537
2024-05-28,JPY,USD,0.00666
2024-05-28,BRL,USD,0.201062
2024-05-28,GBP,USD,1.261663
2024-05-29,EUR,USD,1.084389
2024-05-29,JPY,USD,0.006718
2024-05-29,BRL,USD,0.199679
2024-05-29,GBP,USD,1.269298
2024-05-30,EUR,USD,1.083305
2024-05-30,JPY,USD,0.006701
2024-05-30,BRL,USD,0.198933
2024-05-30,GBP,USD,1.270006
2024-05-31,EUR,USD,1.081495
2024-05-31,JPY,USD,0.006658
2024-05-31,BRL,USD,0.200281
2024-05-31,GBP,USD,1.267786
2024-06-01,EUR,USD,1.078432
2024-06-01,JPY,USD,0.006698
2024-06-01,BRL,USD,0.200483
2024-06-01,GBP,USD,1.282408
2024-06-02,EUR,USD,1.084666
2024-06-02,JPY,USD,0.006675
2024-06-02,BRL,USD,0.200376
2024-06-02,GBP,USD,1.27072
2024-06-03,EUR,USD,1.090329
2024-06-03,JPY,USD,0.006668
2024-06-03,BRL,USD,0.199762
2024-06-03,GBP,USD,1.269362
2024-06-04,EUR,USD,1.08423
2024-06-04,JPY,USD,0.006687
2024-06-04,BRL,USD,0.201291
2024-06-04,GBP,USD,1.267975
2024-06-05,EUR,USD,1.080121
2024-06-05,JPY,USD,0.006647
2024-06-05,BRL,USD,0.199679
2024-06-05,GBP,USD,1.271515
2024-06-06,EUR,USD,1.082094
2024-06-06,JPY,USD,0.006721
2024-06-06,BRL,USD,0.200504
2024-06-06,GBP,USD,1.264566
2024-06-07,EUR,USD,1.083859
2024-06-07,JPY,USD,0.006682
2024-06-07,BRL,USD,0.200019
2024-06-07,GBP,USD,1.266515
2024-06-08,EUR,USD,1.088644
2024-06-08,JPY,USD,0.006696
2024-06-08,BRL,USD,0.197294
2024-06-08,GBP,USD,1.269914
2024-06-09,EUR,USD,1.085463
2024-06-09,JPY,USD,0.006712
2024-06-09,BRL,USD,0.200483
2024-06-09,GBP,USD,1.265081
2024-06-10,EUR,USD,1.081601
2024-06-10,JPY,USD,0.006617
2024-06-10,BRL,USD,0.198627
2024-06-10,GBP,USD,1.276615
2024-06-11,EUR,USD,1.084241
2024-06-11,JPY,USD,0.006705
2024-06-11,BRL,USD,0.20116
2024-06-11,GBP,USD,1.269657
2024-06-12,EUR,USD,1.072071
2024-06-12,JPY,USD,0.006763
2024-06-12,BRL,USD,0.198627
2024-06-12,GBP,USD,1.273979
2024-06-13,EUR,USD,1.078783
2024-06-13,JPY,USD,0.006688
2024-06-13,BRL,USD,0.198685
2024-06-13,GBP,USD,1.262297
2024-06-14,EUR,USD,1.079487
2024-06-14,JPY,USD,0.006687
2024-06-14,BRL,USD,0.200893
2024-06-14,GBP,USD,1.278255
2024-06-15,EUR,USD,1.074096
2024-06-15,JPY,USD,0.006659
2024-06-15,BRL,USD,0.199807
2024-06-15,GBP,USD,1.272754
2024-06-16,EUR,USD,1.084634
2024-06-16,JPY,USD,0.006701
2024-06-16,BRL,USD,0.199495
2024-06-16,GBP,USD,1.273881
2024-06-17,EUR,USD,1.082341
2024-06-17,JPY,USD,0.006716
2024-06-17,BRL,USD,0.198793
2024-06-17,GBP,USD,1.272552
2024-06-18,EUR,USD,1.078956
2024-06-18,JPY,USD,0.006704
2024-06-18,BRL,USD,0.199731
2024-06-18,GBP,USD,1.272229
2024-06-19,EUR,USD,1.076097
2024-06-19,JPY,USD,0.006683
2024-06-19,BRL,USD,0.199376
2024-06-19,GBP,USD,1.273483
2024-06-20,EUR,USD,1.07827
2024-06-20,JPY,USD,0.006709
2024-06-20,BRL,USD,0.201765
2024-06-20,GBP,USD,1.261978
2024-06-21,EUR,USD,1.086969
2024-06-21,JPY,USD,0.006694
2024-06-21,BRL,USD,0.200474
2024-06-21,GBP,USD,1.27544
2024-06-22,EUR,USD,1.082939
2024-06-22,JPY,USD,0.006722
2024-06-22,BRL,USD,0.199639
2024-06-22,GBP,USD,1.270099
2024-06-23,EUR,USD,1.074823
2024-06-23,JPY,USD,0.006714
2024-06-23,BRL,USD,0.199602
2024-06-23,GBP,USD,1.270251
2024-06-24,EUR,USD,1.079957
2024-06-24,JPY,USD,0.006725
2024-06-24,BRL,USD,0.199051
2024-06-24,GBP,USD,1.263971
2024-06-25,EUR,USD,1.080862
2024-06-25,JPY,USD,0.006715
2024-06-25,BRL,USD,0.199179
2024-06-25,GBP,USD,1.284579
2024-06-26,EUR,USD,1.076289
2024-06-26,JPY,USD,0.006741
2024-06-26,BRL,USD,0.200298
2024-06-26,GBP,USD,1.264646
2024-06-27,EUR,USD,1.074961
2024-06-27,JPY,USD,0.006753
2024-06-27,BRL,USD,0.201718
2024-06-27,GBP,USD,1.256732
2024-06-28,EUR,USD,1.083115
2024-06-28,JPY,USD,0.006722
2024-06-28,BRL,USD,0.200633
2024-06-28,GBP,USD,1.268617
2024-06-29,EUR,USD,1.074523
2024-06-29,JPY,USD,0.00678
2024-06-29,BRL,USD,0.200814
2024-06-29,GBP,USD,1.268971
2024-06-30,EUR,USD,1.077873
2024-06-30,JPY,USD,0.006663
2024-06-30,BRL,USD,0.199338
2024-06-30,GBP,USD,1.267829
2024-07-01,EUR,USD,1.072922
2024-07-01,JPY,USD,0.006743
2024-07-01,BRL,USD,0.199615
2024-07-01,GBP,USD,1.271946
2024-07-02,EUR,USD,1.073341
2024-07-02,JPY,USD,0.006682
2024-07-02,BRL,USD,0.198549
