customer_id,customer_name,segment,product,month,budgeted_units,budgeted_unit_price,budgeted_revenue,budgeted_cogs,budgeted_gross_profit
C-003,Customer 3,Enterprise,SKU-A,10,27,1200,32400,17820.0,14580.0
C-003,Customer 3,Enterprise,SKU-F,10,49,600,29400,20580.0,8820.0
C-003,Customer 3,Enterprise,SKU-A,11,25,1200,30000,16500.0,13500.0
C-003,Customer 3,Enterprise,SKU-F,11,49,600,29400,20580.0,8820.0
C-003,Customer 3,Enterprise,SKU-A,12,26,1200,31200,17160.0,14040.0
C-003,Customer 3,Enterprise,SKU-F,12,47,600,28200,19740.0,8460.0
C-004,Customer 4,Enterprise,SKU-F,1,64,600,38400,26880.0,11520.0
C-004,Customer 4,Enterprise,SKU-F,2,62,600,37200,26040.0,11160.0
C-004,Customer 4,Enterprise,SKU-F,3,63,600,37800,26460.0,11340.0
C-004,Customer 4,Enterprise,SKU-F,4,65,600,39000,27300.0,11700.0
C-004,Customer 4,Enterprise,SKU-F,5,67,600,40200,28140.0,12060.0
C-004,Customer 4,Enterprise,SKU-F,6,64,600,38400,26880.0,11520.0
C-004,Customer 4,Enterprise,SKU-F,7,67,600,40200,28140.0,12060.0
C-004,Customer 4,Enterprise,SKU-F,8,68,600,40800,28560.0,12240.0
C-004,Customer 4,Enterprise,SKU-F,9,62,600,37200,26040.0,11160.0
C-004,Customer 4,Enterprise,SKU-F,10,66,600,39600,27720.0,11880.0
C-004,Customer 4,Enterprise,SKU-F,11,66,600,39600,27720.0,11880.0
C-004,Customer 4,Enterprise,SKU-F,12,64,600,38400,26880.0,11520.0
C-005,Customer 5,Mid-Market,SKU-C,1,23,3500,80500,36225.0,44275.0
C-005,Customer 5,Mid-Market,SKU-A,1,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,2,22,3500,77000,34650.0,42350.0
C-005,Customer 5,Mid-Market,SKU-A,2,6,1200,7200,3960.0,3240.0
C-005,Customer 5,Mid-Market,SKU-C,3,24,3500,84000,37800.0,46200.0
C-005,Customer 5,Mid-Market,SKU-A,3,6,1200,7200,3960.0,3240.0
C-005,Customer 5,Mid-Market,SKU-C,4,22,3500,77000,34650.0,42350.0
C-005,Customer 5,Mid-Market,SKU-A,4,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,5,23,3500,80500,36225.0,44275.0
C-005,Customer 5,Mid-Market,SKU-A,5,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,6,21,3500,73500,33075.0,40425.0
C-005,Customer 5,Mid-Market,SKU-A,6,6,1200,7200,3960.0,3240.0
C-005,Customer 5,Mid-Market,SKU-C,7,22,3500,77000,34650.0,42350.0
C-005,Customer 5,Mid-Market,SKU-A,7,6,1200,7200,3960.0,3240.0
C-005,Customer 5,Mid-Market,SKU-C,8,22,3500,77000,34650.0,42350.0
C-005,Customer 5,Mid-Market,SKU-A,8,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,9,23,3500,80500,36225.0,44275.0
C-005,Customer 5,Mid-Market,SKU-A,9,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,10,22,3500,77000,34650.0,42350.0
C-005,Customer 5,Mid-Market,SKU-A,10,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,11,21,3500,73500,33075.0,40425.0
C-005,Customer 5,Mid-Market,SKU-A,11,7,1200,8400,4620.0,3780.0
C-005,Customer 5,Mid-Market,SKU-C,12,23,3500,80500,36225.0,44275.0
C-005,Customer 5,Mid-Market,SKU-A,12,7,1200,8400,4620.0,3780.0
C-006,Customer 6,Mid-Market,SKU-B,1,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,1,13,3500,45500,20475.0,25025.0
C-006,Customer 6,Mid-Market,SKU-B,2,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,2,13,3500,45500,20475.0,25025.0
C-006,Customer 6,Mid-Market,SKU-B,3,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,3,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,4,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,4,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,5,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,5,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,6,3,800,2400,1440.0,960.0
C-006,Customer 6,Mid-Market,SKU-C,6,13,3500,45500,20475.0,25025.0
C-006,Customer 6,Mid-Market,SKU-B,7,6,800,4800,2880.0,1920.0
C-006,Customer 6,Mid-Market,SKU-C,7,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,8,6,800,4800,2880.0,1920.0
C-006,Customer 6,Mid-Market,SKU-C,8,13,3500,45500,20475.0,25025.0
C-006,Customer 6,Mid-Market,SKU-B,9,6,800,4800,2880.0,1920.0
C-006,Customer 6,Mid-Market,SKU-C,9,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,10,7,800,5600,3360.0,2240.0
C-006,Customer 6,Mid-Market,SKU-C,10,13,3500,45500,20475.0,25025.0
C-006,Customer 6,Mid-Market,SKU-B,11,7,800,5600,3360.0,2240.0
C-006,Customer 6,Mid-Market,SKU-C,11,12,3500,42000,18900.0,23100.0
C-006,Customer 6,Mid-Market,SKU-B,12,7,800,5600,3360.0,2240.0
C-006,Customer 6,Mid-Market,SKU-C,12,12,3500,42000,18900.0,23100.0
C-007,Customer 7,Mid-Market,SKU-C,1,21,3500,73500,33075.0,40425.0
C-007,Customer 7,Mid-Market,SKU-A,1,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,2,21,3500,73500,33075.0,40425.0
C-007,Customer 7,Mid-Market,SKU-A,2,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,3,21,3500,73500,33075.0,40425.0
C-007,Customer 7,Mid-Market,SKU-A,3,16,1200,19200,10560.0,8640.0
C-007,Customer 7,Mid-Market,SKU-C,4,23,3500,80500,36225.0,44275.0
C-007,Customer 7,Mid-Market,SKU-A,4,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,5,22,3500,77000,34650.0,42350.0
C-007,Customer 7,Mid-Market,SKU-A,5,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,6,21,3500,73500,33075.0,40425.0
C-007,Customer 7,Mid-Market,SKU-A,6,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,7,21,3500,73500,33075.0,40425.0
C-007,Customer 7,Mid-Market,SKU-A,7,16,1200,19200,10560.0,8640.0
C-007,Customer 7,Mid-Market,SKU-C,8,23,3500,80500,36225.0,44275.0
C-007,Customer 7,Mid-Market,SKU-A,8,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,9,22,3500,77000,34650.0,42350.0
C-007,Customer 7,Mid-Market,SKU-A,9,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,10,22,3500,77000,34650.0,42350.0
C-007,Customer 7,Mid-Market,SKU-A,10,17,1200,20400,11220.0,9180.0
C-007,Customer 7,Mid-Market,SKU-C,11,20,3500,70000,31500.0,38500.0
C-007,Customer 7,Mid-Market,SKU-A,11,16,1200,19200,10560.0,8640.0
C-007,Customer 7,Mid-Market,SKU-C,12,22,3500,77000,34650.0,42350.0
C-007,Customer 7,Mid-Market,SKU-A,12,15,1200,18000,9900.0,8100.0
C-008,Customer 8,SMB,SKU-E,1,9,2000,18000,9000.0,9000.0
C-008,Customer 8,SMB,SKU-C,1,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,2,8,2000,16000,8000.0,8000.0
C-008,Customer 8,SMB,SKU-C,2,4,3500,14000,6300.0,7700.0
C-008,Customer 8,SMB,SKU-E,3,8,2000,16000,8000.0,8000.0
C-008,Customer 8,SMB,SKU-C,3,4,3500,14000,6300.0,7700.0
C-008,Customer 8,SMB,SKU-E,4,8,2000,16000,8000.0,8000.0
C-008,Customer 8,SMB,SKU-C,4,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,5,7,2000,14000,7000.0,7000.0
C-008,Customer 8,SMB,SKU-C,5,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,6,7,2000,14000,7000.0,7000.0
C-008,Customer 8,SMB,SKU-C,6,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,7,7,2000,14000,7000.0,7000.0
C-008,Customer 8,SMB,SKU-C,7,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,8,6,2000,12000,6000.0,6000.0
C-008,Customer 8,SMB,SKU-C,8,4,3500,14000,6300.0,7700.0
C-008,Customer 8,SMB,SKU-E,9,6,2000,12000,6000.0,6000.0
C-008,Customer 8,SMB,SKU-C,9,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,10,5,2000,10000,5000.0,5000.0
C-008,Customer 8,SMB,SKU-C,10,4,3500,14000,6300.0,7700.0
C-008,Customer 8,SMB,SKU-E,11,5,2000,10000,5000.0,5000.0
C-008,Customer 8,SMB,SKU-C,11,5,3500,17500,7875.0,9625.0
C-008,Customer 8,SMB,SKU-E,12,5,2000,10000,5000.0,5000.0
C-008,Customer 8,SMB,SKU-C,12,4,3500,14000,6300.0,7700.0
C-009,Customer 9,SMB,SKU-F,1,6,600,3600,2520.0,1080.0
C-009,Customer 9,SMB,SKU-A,1,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,1,10,2000,20000,10000.0,10000.0
C-009,Customer 9,SMB,SKU-F,2,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,2,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,2,10,2000,20000,10000.0,10000.0
C-009,Customer 9,SMB,SKU-F,3,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,3,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,3,9,2000,18000,9000.0,9000.0
C-009,Customer 9,SMB,SKU-F,4,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,4,7,1200,8400,4620.0,3780.0
C-009,Customer 9,SMB,SKU-E,4,9,2000,18000,9000.0,9000.0
C-009,Customer 9,SMB,SKU-F,5,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,5,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,5,8,2000,16000,8000.0,8000.0
C-009,Customer 9,SMB,SKU-F,6,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,6,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,6,8,2000,16000,8000.0,8000.0
C-009,Customer 9,SMB,SKU-F,7,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,7,7,1200,8400,4620.0,3780.0
C-009,Customer 9,SMB,SKU-E,7,8,2000,16000,8000.0,8000.0
C-009,Customer 9,SMB,SKU-F,8,6,600,3600,2520.0,1080.0
C-009,Customer 9,SMB,SKU-A,8,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,8,7,2000,14000,7000.0,7000.0
C-009,Customer 9,SMB,SKU-F,9,6,600,3600,2520.0,1080.0
C-009,Customer 9,SMB,SKU-A,9,7,1200,8400,4620.0,3780.0
C-009,Customer 9,SMB,SKU-E,9,7,2000,14000,7000.0,7000.0
C-009,Customer 9,SMB,SKU-F,10,5,600,3000,2100.0,900.0
C-009,Customer 9,SMB,SKU-A,10,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,10,6,2000,12000,6000.0,6000.0
C-009,Customer 9,SMB,SKU-F,11,6,600,3600,2520.0,1080.0
C-009,Customer 9,SMB,SKU-A,11,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,11,6,2000,12000,6000.0,6000.0
C-009,Customer 9,SMB,SKU-F,12,6,600,3600,2520.0,1080.0
C-009,Customer 9,SMB,SKU-A,12,6,1200,7200,3960.0,3240.0
C-009,Customer 9,SMB,SKU-E,12,6,2000,12000,6000.0,6000.0
C-010,Customer 10,SMB,SKU-D,1,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,1,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,1,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,1,7,2000,14000,7000.0,7000.0
C-010,Customer 10,SMB,SKU-D,2,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,2,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,2,2,600,1200,840.0,360.0
C-010,Customer 10,SMB,SKU-E,2,7,2000,14000,7000.0,7000.0
C-010,Customer 10,SMB,SKU-D,3,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,3,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,3,2,600,1200,840.0,360.0
C-010,Customer 10,SMB,SKU-E,3,7,2000,14000,7000.0,7000.0
C-010,Customer 10,SMB,SKU-D,4,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,4,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,4,2,600,1200,840.0,360.0
C-010,Customer 10,SMB,SKU-E,4,6,2000,12000,6000.0,6000.0
C-010,Customer 10,SMB,SKU-D,5,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,5,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,5,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,5,6,2000,12000,6000.0,6000.0
C-010,Customer 10,SMB,SKU-D,6,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,6,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,6,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,6,6,2000,12000,6000.0,6000.0
C-010,Customer 10,SMB,SKU-D,7,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,7,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,7,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,7,6,2000,12000,6000.0,6000.0
C-010,Customer 10,SMB,SKU-D,8,5,450,2250,1462.5,787.5
C-010,Customer 10,SMB,SKU-C,8,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,8,2,600,1200,840.0,360.0
C-010,Customer 10,SMB,SKU-E,8,5,2000,10000,5000.0,5000.0
C-010,Customer 10,SMB,SKU-D,9,6,450,2700,1755.0,945.0
C-010,Customer 10,SMB,SKU-C,9,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,9,2,600,1200,840.0,360.0
C-010,Customer 10,SMB,SKU-E,9,5,2000,10000,5000.0,5000.0
C-010,Customer 10,SMB,SKU-D,10,8,450,3600,2340.0,1260.0
C-010,Customer 10,SMB,SKU-C,10,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,10,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,10,5,2000,10000,5000.0,5000.0
C-010,Customer 10,SMB,SKU-D,11,10,450,4500,2925.0,1575.0
C-010,Customer 10,SMB,SKU-C,11,2,3500,7000,3150.0,3850.0
C-010,Customer 10,SMB,SKU-F,11,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,11,4,2000,8000,4000.0,4000.0
C-010,Customer 10,SMB,SKU-D,12,12,450,5400,3510.0,1890.0
C-010,Customer 10,SMB,SKU-C,12,1,3500,3500,1575.0,1925.0
C-010,Customer 10,SMB,SKU-F,12,3,600,1800,1260.0,540.0
C-010,Customer 10,SMB,SKU-E,12,4,2000,8000,4000.0,4000.0
C-011,Customer 11,SMB,SKU-A,4,5,1200,6000,3300.0,2700.0
C-011,Customer 11,SMB,SKU-E,4,2,2000,4000,2000.0,2000.0
C-011,Customer 11,SMB,SKU-B,4,2,800,1600,960.0,640.0
C-011,Customer 11,SMB,SKU-A,5,5,1200,6000,3300.0,2700.0
C-011,Customer 11,SMB,SKU-E,5,2,2000,4000,2000.0,2000.0
C-011,Customer 11,SMB,SKU-B,5,2,800,1600,960.0,640.0
C-011,Customer 11,SMB,SKU-A,6,4,1200,4800,2640.0,2160.0
C-011,Customer 11,SMB,SKU-E,6,2,2000,4000,2000.0,2000.0
C-011,Customer 11,SMB,SKU-B,6,2,800,1600,960.0,640.0
C-011,Customer 11,SMB,SKU-A,7,4,1200,4800,2640.0,2160.0
C-011,Customer 11,SMB,SKU-E,7,2,2000,4000,2000.0,2000.0
C-011,Customer 11,SMB,SKU-B,7,5,800,4000,2400.0,1600.0
C-011,Customer 11,SMB,SKU-A,8,4,1200,4800,2640.0,2160.0
C-011,Customer 11,SMB,SKU-E,8,1,2000,2000,1000.0,1000.0
C-011,Customer 11,SMB,SKU-B,8,5,800,4000,2400.0,1600.0
C-011,Customer 11,SMB,SKU-A,9,4,1200,4800,2640.0,2160.0
C-011,Customer 11,SMB,SKU-E,9,1,2000,2000,1000.0,1000.0
C-011,Customer 11,SMB,SKU-B,9,5,800,4000,2400.0,1600.0
C-011,Customer 11,SMB,SKU-A,10,5,1200,6000,3300.0,2700.0
C-011,Customer 11,SMB,SKU-E,10,1,2000,2000,1000.0,1000.0
C-011,Customer 11,SMB,SKU-B,10,5,800,4000,2400.0,1600.0
C-011,Customer 11,SMB,SKU-A,11,5,1200,6000,3300.0,2700.0
C-011,Customer 11,SMB,SKU-E,11,1,2000,2000,1000.0,1000.0
C-011,Customer 11,SMB,SKU-B,11,5,800,4000,2400.0,1600.0
C-011,Customer 11,SMB,SKU-A,12,5,1200,6000,3300.0,2700.0
C-011,Customer 11,SMB,SKU-E,12,1,2000,2000,1000.0,1000.0
C-011,Customer 11,SMB,SKU-B,12,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-F,1,11,600,6600,4620.0,1980.0
C-012,Customer 12,Mid-Market,SKU-E,1,29,2000,58000,29000.0,29000.0
C-012,Customer 12,Mid-Market,SKU-B,1,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,1,25,3500,87500,39375.0,48125.0
C-012,Customer 12,Mid-Market,SKU-F,2,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,2,28,2000,56000,28000.0,28000.0
C-012,Customer 12,Mid-Market,SKU-B,2,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,2,24,3500,84000,37800.0,46200.0
C-012,Customer 12,Mid-Market,SKU-F,3,11,600,6600,4620.0,1980.0
C-012,Customer 12,Mid-Market,SKU-E,3,27,2000,54000,27000.0,27000.0
C-012,Customer 12,Mid-Market,SKU-B,3,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,3,25,3500,87500,39375.0,48125.0
C-012,Customer 12,Mid-Market,SKU-F,4,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,4,26,2000,52000,26000.0,26000.0
C-012,Customer 12,Mid-Market,SKU-B,4,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,4,25,3500,87500,39375.0,48125.0
C-012,Customer 12,Mid-Market,SKU-F,5,11,600,6600,4620.0,1980.0
C-012,Customer 12,Mid-Market,SKU-E,5,25,2000,50000,25000.0,25000.0
C-012,Customer 12,Mid-Market,SKU-B,5,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,5,25,3500,87500,39375.0,48125.0
C-012,Customer 12,Mid-Market,SKU-F,6,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,6,24,2000,48000,24000.0,24000.0
C-012,Customer 12,Mid-Market,SKU-B,6,2,800,1600,960.0,640.0
C-012,Customer 12,Mid-Market,SKU-C,6,25,3500,87500,39375.0,48125.0
C-012,Customer 12,Mid-Market,SKU-F,7,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,7,23,2000,46000,23000.0,23000.0
C-012,Customer 12,Mid-Market,SKU-B,7,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,7,26,3500,91000,40950.0,50050.0
C-012,Customer 12,Mid-Market,SKU-F,8,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,8,21,2000,42000,21000.0,21000.0
C-012,Customer 12,Mid-Market,SKU-B,8,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,8,26,3500,91000,40950.0,50050.0
C-012,Customer 12,Mid-Market,SKU-F,9,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,9,20,2000,40000,20000.0,20000.0
C-012,Customer 12,Mid-Market,SKU-B,9,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,9,24,3500,84000,37800.0,46200.0
C-012,Customer 12,Mid-Market,SKU-F,10,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,10,19,2000,38000,19000.0,19000.0
C-012,Customer 12,Mid-Market,SKU-B,10,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,10,23,3500,80500,36225.0,44275.0
C-012,Customer 12,Mid-Market,SKU-F,11,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,11,18,2000,36000,18000.0,18000.0
C-012,Customer 12,Mid-Market,SKU-B,11,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,11,23,3500,80500,36225.0,44275.0
C-012,Customer 12,Mid-Market,SKU-F,12,10,600,6000,4200.0,1800.0
C-012,Customer 12,Mid-Market,SKU-E,12,17,2000,34000,17000.0,17000.0
C-012,Customer 12,Mid-Market,SKU-B,12,5,800,4000,2400.0,1600.0
C-012,Customer 12,Mid-Market,SKU-C,12,24,3500,84000,37800.0,46200.0
C-013,Customer 13,SMB,SKU-A,1,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,1,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,2,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,2,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,3,8,1200,9600,5280.0,4320.0
C-013,Customer 13,SMB,SKU-B,3,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,4,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,4,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,5,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,5,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,6,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,6,3,800,2400,1440.0,960.0
C-013,Customer 13,SMB,SKU-A,7,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,7,6,800,4800,2880.0,1920.0
C-013,Customer 13,SMB,SKU-A,8,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,8,6,800,4800,2880.0,1920.0
C-013,Customer 13,SMB,SKU-A,9,8,1200,9600,5280.0,4320.0
C-013,Customer 13,SMB,SKU-B,9,6,800,4800,2880.0,1920.0
C-013,Customer 13,SMB,SKU-A,10,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,10,7,800,5600,3360.0,2240.0
C-013,Customer 13,SMB,SKU-A,11,8,1200,9600,5280.0,4320.0
C-013,Customer 13,SMB,SKU-B,11,7,800,5600,3360.0,2240.0
C-013,Customer 13,SMB,SKU-A,12,7,1200,8400,4620.0,3780.0
C-013,Customer 13,SMB,SKU-B,12,7,800,5600,3360.0,2240.0
C-014,Customer 14,SMB,SKU-D,1,6,450,2700,1755.0,945.0
C-014,Customer 14,SMB,SKU-F,1,6,600,3600,2520.0,1080.0
C-014,Customer 14,SMB,SKU-D,2,6,450,2700,1755.0,945.0
C-014,Customer 14,SMB,SKU-F,2,5,600,3000,2100.0,900.0
C-014,Customer 14,SMB,SKU-D,3,5,450,2250,1462.5,787.5
