customer_id,customer_name,segment,product,month,actual_units,actual_unit_price,actual_revenue,actual_cogs,actual_gross_profit
C-002,Customer 2,Enterprise,SKU-F,9,66,554.9,36623.4,26184.93,10438.47
C-002,Customer 2,Enterprise,SKU-F,10,84,570.75,47943.0,34488.74,13454.26
C-002,Customer 2,Enterprise,SKU-F,11,66,558.22,36842.52,26543.06,10299.46
C-002,Customer 2,Enterprise,SKU-F,12,97,563.41,54650.77,39543.69,15107.08
C-003,Customer 3,Enterprise,SKU-A,1,27,1136.33,30680.91,16625.41,14055.5
C-003,Customer 3,Enterprise,SKU-F,1,47,557.86,26219.42,18795.41,7424.01
C-003,Customer 3,Enterprise,SKU-A,2,25,1137.5,28437.5,15495.7,12941.8
C-003,Customer 3,Enterprise,SKU-F,2,40,569.27,22770.8,15700.56,7070.24
C-003,Customer 3,Enterprise,SKU-A,3,26,1140.92,29663.92,16298.72,13365.2
C-003,Customer 3,Enterprise,SKU-F,3,48,564.76,27108.48,19536.89,7571.59
C-003,Customer 3,Enterprise,SKU-A,4,24,1124.51,26988.24,14642.68,12345.56
C-003,Customer 3,Enterprise,SKU-F,4,43,559.66,24065.38,16389.96,7675.42
C-003,Customer 3,Enterprise,SKU-A,5,22,1109.75,24414.5,13255.72,11158.78
C-003,Customer 3,Enterprise,SKU-F,5,49,571.43,28000.07,19760.71,8239.36
C-003,Customer 3,Enterprise,SKU-A,6,20,1120.74,22414.8,12445.88,9968.92
C-003,Customer 3,Enterprise,SKU-F,6,51,554.9,28299.9,19983.87,8316.03
C-003,Customer 3,Enterprise,SKU-A,7,23,1129.23,25972.29,15208.11,10764.18
C-003,Customer 3,Enterprise,SKU-F,7,54,559.58,30217.32,21777.49,8439.83
C-003,Customer 3,Enterprise,SKU-A,8,28,1105.71,30959.88,17912.43,13047.45
C-003,Customer 3,Enterprise,SKU-F,8,59,574.29,33883.11,25389.25,8493.86
C-003,Customer 3,Enterprise,SKU-A,9,19,1119.21,21264.99,12161.69,9103.3
C-003,Customer 3,Enterprise,SKU-F,9,60,577.78,34666.8,26193.29,8473.51
C-003,Customer 3,Enterprise,SKU-A,10,30,1105.2,33156.0,19684.42,13471.58
C-003,Customer 3,Enterprise,SKU-F,10,48,558.28,26797.44,19121.68,7675.76
C-003,Customer 3,Enterprise,SKU-A,11,21,1123.63,23596.23,13767.73,9828.5
C-003,Customer 3,Enterprise,SKU-F,11,38,553.79,21044.02,15103.88,5940.14
C-003,Customer 3,Enterprise,SKU-A,12,25,1110.95,27773.75,16098.44,11675.31
C-003,Customer 3,Enterprise,SKU-F,12,52,580.1,30165.2,22602.24,7562.96
C-004,Customer 4,Enterprise,SKU-F,1,69,569.75,39312.75,26924.15,12388.6
C-004,Customer 4,Enterprise,SKU-F,2,70,567.22,39705.4,27122.05,12583.35
C-004,Customer 4,Enterprise,SKU-F,3,67,568.39,38082.13,26930.18,11151.95
C-004,Customer 4,Enterprise,SKU-F,4,63,569.43,35874.09,25476.89,10397.2
C-004,Customer 4,Enterprise,SKU-F,5,64,579.03,37057.92,25923.96,11133.96
C-004,Customer 4,Enterprise,SKU-F,6,49,581.02,28469.98,19774.17,8695.81
C-004,Customer 4,Enterprise,SKU-F,7,48,556.34,26704.32,19155.85,7548.47
C-004,Customer 4,Enterprise,SKU-F,8,62,552.66,34264.92,24971.16,9293.76
C-004,Customer 4,Enterprise,SKU-F,9,58,578.34,33543.72,25169.47,8374.25
C-004,Customer 4,Enterprise,SKU-F,10,53,562.75,29825.75,22049.7,7776.05
C-004,Customer 4,Enterprise,SKU-F,11,78,574.69,44825.82,32207.5,12618.32
C-004,Customer 4,Enterprise,SKU-F,12,62,559.05,34661.1,25028.28,9632.82
C-005,Customer 5,Mid-Market,SKU-C,1,23,3454.0,79442.0,34992.93,44449.07
C-005,Customer 5,Mid-Market,SKU-A,1,7,1158.8,8111.6,4366.27,3745.33
C-005,Customer 5,Mid-Market,SKU-C,2,23,3475.57,79938.11,36319.76,43618.35
C-005,Customer 5,Mid-Market,SKU-A,2,7,1162.08,8134.56,4403.66,3730.9
C-005,Customer 5,Mid-Market,SKU-C,3,22,3492.66,76838.52,35078.81,41759.71
C-005,Customer 5,Mid-Market,SKU-A,3,5,1177.14,5885.7,3291.13,2594.57
C-005,Customer 5,Mid-Market,SKU-C,4,20,3429.46,68589.2,31690.01,36899.19
C-005,Customer 5,Mid-Market,SKU-A,4,7,1158.38,8108.66,4465.5,3643.16
C-005,Customer 5,Mid-Market,SKU-C,5,16,3491.48,55863.68,25106.95,30756.73
C-005,Customer 5,Mid-Market,SKU-A,5,5,1176.47,5882.35,3314.82,2567.53
C-005,Customer 5,Mid-Market,SKU-C,6,24,3414.84,81956.16,35919.21,46036.95
C-005,Customer 5,Mid-Market,SKU-A,6,6,1173.68,7042.08,3832.52,3209.56
C-005,Customer 5,Mid-Market,SKU-C,7,26,3436.48,89348.48,42484.21,46864.27
C-005,Customer 5,Mid-Market,SKU-A,7,6,1159.07,6954.42,4052.54,2901.88
C-005,Customer 5,Mid-Market,SKU-C,8,23,3469.9,79807.7,37599.53,42208.17
C-005,Customer 5,Mid-Market,SKU-A,8,6,1178.23,7069.38,4061.99,3007.39
C-005,Customer 5,Mid-Market,SKU-C,9,25,3406.88,85172.0,39940.25,45231.75
C-005,Customer 5,Mid-Market,SKU-A,9,8,1196.78,9574.24,5639.19,3935.05
C-005,Customer 5,Mid-Market,SKU-C,10,25,3396.57,84914.25,40872.51,44041.74
C-005,Customer 5,Mid-Market,SKU-A,10,5,1173.04,5865.2,3352.53,2512.67
C-005,Customer 5,Mid-Market,SKU-C,11,23,3406.85,78357.55,37579.93,40777.62
C-005,Customer 5,Mid-Market,SKU-A,11,7,1153.52,8074.64,4691.2,3383.44
C-005,Customer 5,Mid-Market,SKU-C,12,19,3470.22,65934.18,31446.88,34487.3
C-005,Customer 5,Mid-Market,SKU-A,12,7,1159.42,8115.94,4649.71,3466.23
C-006,Customer 6,Mid-Market,SKU-B,1,3,775.6,2326.8,1402.29,924.51
C-006,Customer 6,Mid-Market,SKU-C,1,10,3363.56,33635.6,15425.2,18210.4
C-006,Customer 6,Mid-Market,SKU-B,2,2,799.16,1598.32,983.68,614.64
C-006,Customer 6,Mid-Market,SKU-C,2,12,3474.74,41696.88,18991.8,22705.08
C-006,Customer 6,Mid-Market,SKU-B,3,2,790.11,1580.22,939.02,641.2
C-006,Customer 6,Mid-Market,SKU-C,3,13,3420.72,44469.36,19892.09,24577.27
C-006,Customer 6,Mid-Market,SKU-B,4,3,799.02,2397.06,1459.47,937.59
C-006,Customer 6,Mid-Market,SKU-C,4,13,3452.27,44879.51,20038.32,24841.19
C-006,Customer 6,Mid-Market,SKU-B,5,3,776.91,2330.73,1421.67,909.06
C-006,Customer 6,Mid-Market,SKU-C,5,11,3492.63,38418.93,16933.15,21485.78
C-006,Customer 6,Mid-Market,SKU-B,6,2,791.29,1582.58,958.77,623.81
C-006,Customer 6,Mid-Market,SKU-C,6,10,3461.76,34617.6,15816.21,18801.39
C-006,Customer 6,Mid-Market,SKU-B,7,6,796.36,4778.16,2997.58,1780.58
C-006,Customer 6,Mid-Market,SKU-C,7,14,3431.87,48046.18,22929.47,25116.71
C-006,Customer 6,Mid-Market,SKU-B,8,6,780.82,4684.92,2864.32,1820.6
C-006,Customer 6,Mid-Market,SKU-C,8,12,3480.79,41769.48,19446.57,22322.91
C-006,Customer 6,Mid-Market,SKU-B,9,6,789.5,4737.0,2896.16,1840.84
C-006,Customer 6,Mid-Market,SKU-C,9,11,3446.77,37914.47,18133.51,19780.96
C-006,Customer 6,Mid-Market,SKU-B,10,5,774.2,3871.0,2376.11,1494.89
C-006,Customer 6,Mid-Market,SKU-C,10,12,3497.38,41968.56,20331.25,21637.31
C-006,Customer 6,Mid-Market,SKU-B,11,6,772.41,4634.46,2932.98,1701.48
C-006,Customer 6,Mid-Market,SKU-C,11,10,3441.52,34415.2,15885.72,18529.48
C-006,Customer 6,Mid-Market,SKU-B,12,7,774.36,5420.52,3439.13,1981.39
C-006,Customer 6,Mid-Market,SKU-C,12,14,3487.66,48827.24,23547.72,25279.52
C-007,Customer 7,Mid-Market,SKU-C,1,20,3426.65,68533.0,30646.98,37886.02
C-007,Customer 7,Mid-Market,SKU-A,1,16,1184.01,18944.16,10211.82,8732.34
C-007,Customer 7,Mid-Market,SKU-C,2,20,3428.61,68572.2,31609.04,36963.16
C-007,Customer 7,Mid-Market,SKU-A,2,14,1160.69,16249.66,9106.25,7143.41
C-007,Customer 7,Mid-Market,SKU-C,3,22,3472.38,76392.36,34587.77,41804.59
C-007,Customer 7,Mid-Market,SKU-A,3,17,1191.5,20255.5,11322.91,8932.59
C-007,Customer 7,Mid-Market,SKU-C,4,16,3393.62,54297.92,24359.16,29938.76
C-007,Customer 7,Mid-Market,SKU-A,4,19,1169.51,22220.69,12312.69,9908.0
C-007,Customer 7,Mid-Market,SKU-C,5,23,3478.87,80014.01,35073.64,44940.37
C-007,Customer 7,Mid-Market,SKU-A,5,14,1186.82,16615.48,8895.16,7720.32
C-007,Customer 7,Mid-Market,SKU-C,6,19,3436.73,65297.87,28602.82,36695.05
C-007,Customer 7,Mid-Market,SKU-A,6,16,1158.52,18536.32,10412.31,8124.01
C-007,Customer 7,Mid-Market,SKU-C,7,18,3435.22,61833.96,29311.76,32522.2
C-007,Customer 7,Mid-Market,SKU-A,7,17,1178.41,20032.97,11784.1,8248.87
C-007,Customer 7,Mid-Market,SKU-C,8,18,3433.41,61801.38,28589.44,33211.94
C-007,Customer 7,Mid-Market,SKU-A,8,16,1156.84,18509.44,10588.79,7920.65
C-007,Customer 7,Mid-Market,SKU-C,9,21,3475.84,72992.64,33967.02,39025.62
C-007,Customer 7,Mid-Market,SKU-A,9,14,1174.91,16448.74,9304.65,7144.09
C-007,Customer 7,Mid-Market,SKU-C,10,20,3442.77,68855.4,32218.66,36636.74
C-007,Customer 7,Mid-Market,SKU-A,10,14,1168.93,16365.02,9204.65,7160.37
C-007,Customer 7,Mid-Market,SKU-C,11,24,3460.22,83045.28,39765.64,43279.64
C-007,Customer 7,Mid-Market,SKU-A,11,14,1158.08,16213.12,9269.46,6943.66
C-007,Customer 7,Mid-Market,SKU-C,12,18,3451.03,62118.54,30174.65,31943.89
C-007,Customer 7,Mid-Market,SKU-A,12,15,1171.44,17571.6,10414.28,7157.32
C-008,Customer 8,SMB,SKU-E,1,7,2000.0,14000.0,6920.02,7079.98
C-008,Customer 8,SMB,SKU-C,1,4,3500.0,14000.0,6418.38,7581.62
C-008,Customer 8,SMB,SKU-E,2,7,2000.0,14000.0,7100.29,6899.71
C-008,Customer 8,SMB,SKU-C,2,3,3500.0,10500.0,4766.4,5733.6
C-008,Customer 8,SMB,SKU-E,3,6,2000.0,12000.0,5972.43,6027.57
C-008,Customer 8,SMB,SKU-C,3,4,3500.0,14000.0,6179.14,7820.86
C-008,Customer 8,SMB,SKU-E,4,8,2000.0,16000.0,7993.41,8006.59
C-008,Customer 8,SMB,SKU-C,4,5,3500.0,17500.0,7675.21,9824.79
C-008,Customer 8,SMB,SKU-E,5,7,2000.0,14000.0,7144.66,6855.34
C-008,Customer 8,SMB,SKU-C,5,5,3500.0,17500.0,8033.34,9466.66
C-008,Customer 8,SMB,SKU-E,6,7,2000.0,14000.0,6931.44,7068.56
C-008,Customer 8,SMB,SKU-C,6,4,3500.0,14000.0,6253.4,7746.6
C-008,Customer 8,SMB,SKU-E,7,6,2000.0,12000.0,6172.33,5827.67
C-008,Customer 8,SMB,SKU-C,7,4,3500.0,14000.0,6737.66,7262.34
C-008,Customer 8,SMB,SKU-E,8,6,2000.0,12000.0,6266.3,5733.7
C-008,Customer 8,SMB,SKU-C,8,4,3500.0,14000.0,6592.85,7407.15
C-008,Customer 8,SMB,SKU-E,9,5,2000.0,10000.0,5182.25,4817.75
C-008,Customer 8,SMB,SKU-C,9,3,3500.0,10500.0,4971.37,5528.63
C-008,Customer 8,SMB,SKU-E,10,4,2000.0,8000.0,4192.19,3807.81
C-008,Customer 8,SMB,SKU-C,10,5,3500.0,17500.0,8490.58,9009.42
C-008,Customer 8,SMB,SKU-E,11,4,2000.0,8000.0,4322.08,3677.92
C-008,Customer 8,SMB,SKU-C,11,4,3500.0,14000.0,6568.12,7431.88
C-008,Customer 8,SMB,SKU-E,12,3,2000.0,6000.0,3209.89,2790.11
C-008,Customer 8,SMB,SKU-C,12,4,3500.0,14000.0,6515.78,7484.22
C-009,Customer 9,SMB,SKU-F,1,4,600.0,2400.0,1685.5,714.5
C-009,Customer 9,SMB,SKU-A,1,7,1200.0,8400.0,4717.34,3682.66
C-009,Customer 9,SMB,SKU-E,1,11,2000.0,22000.0,10858.14,11141.86
C-009,Customer 9,SMB,SKU-F,2,5,600.0,3000.0,2151.07,848.93
C-009,Customer 9,SMB,SKU-A,2,7,1200.0,8400.0,4743.75,3656.25
C-009,Customer 9,SMB,SKU-E,2,10,2000.0,20000.0,9909.75,10090.25
C-009,Customer 9,SMB,SKU-F,3,6,600.0,3600.0,2520.3,1079.7
C-009,Customer 9,SMB,SKU-A,3,7,1200.0,8400.0,4585.33,3814.67
C-009,Customer 9,SMB,SKU-E,3,12,2000.0,24000.0,11660.3,12339.7
C-009,Customer 9,SMB,SKU-F,4,5,600.0,3000.0,2118.9,881.1
C-009,Customer 9,SMB,SKU-A,4,6,1200.0,7200.0,3909.36,3290.64
C-009,Customer 9,SMB,SKU-E,4,9,2000.0,18000.0,8804.95,9195.05
C-009,Customer 9,SMB,SKU-F,5,4,600.0,2400.0,1630.13,769.87
C-009,Customer 9,SMB,SKU-A,5,6,1200.0,7200.0,4039.59,3160.41
C-009,Customer 9,SMB,SKU-E,5,8,2000.0,16000.0,8023.43,7976.57
C-009,Customer 9,SMB,SKU-F,6,4,600.0,2400.0,1640.81,759.19
C-009,Customer 9,SMB,SKU-A,6,6,1200.0,7200.0,3852.55,3347.45
C-009,Customer 9,SMB,SKU-E,6,6,2000.0,12000.0,5984.56,6015.44
C-009,Customer 9,SMB,SKU-F,7,7,600.0,4200.0,3104.92,1095.08
C-009,Customer 9,SMB,SKU-A,7,8,1200.0,9600.0,5458.16,4141.84
C-009,Customer 9,SMB,SKU-E,7,8,2000.0,16000.0,8220.36,7779.64
C-009,Customer 9,SMB,SKU-F,8,5,600.0,3000.0,2170.68,829.32
C-009,Customer 9,SMB,SKU-A,8,6,1200.0,7200.0,4054.62,3145.38
C-009,Customer 9,SMB,SKU-E,8,7,2000.0,14000.0,7361.49,6638.51
C-009,Customer 9,SMB,SKU-F,9,3,600.0,1800.0,1327.3,472.7
C-009,Customer 9,SMB,SKU-A,9,5,1200.0,6000.0,3493.21,2506.79
C-009,Customer 9,SMB,SKU-E,9,7,2000.0,14000.0,7562.14,6437.86
C-009,Customer 9,SMB,SKU-F,10,5,600.0,3000.0,2243.17,756.83
C-009,Customer 9,SMB,SKU-A,10,6,1200.0,7200.0,4190.0,3010.0
C-009,Customer 9,SMB,SKU-E,10,6,2000.0,12000.0,6236.69,5763.31
C-009,Customer 9,SMB,SKU-F,11,5,600.0,3000.0,2246.48,753.52
C-009,Customer 9,SMB,SKU-A,11,7,1200.0,8400.0,4840.7,3559.3
C-009,Customer 9,SMB,SKU-E,11,7,2000.0,14000.0,7436.17,6563.83
C-009,Customer 9,SMB,SKU-F,12,4,600.0,2400.0,1717.76,682.24
C-009,Customer 9,SMB,SKU-A,12,6,1200.0,7200.0,4106.47,3093.53
C-009,Customer 9,SMB,SKU-E,12,6,2000.0,12000.0,6126.84,5873.16
C-010,Customer 10,SMB,SKU-D,1,5,450.0,2250.0,1505.42,744.58
C-010,Customer 10,SMB,SKU-F,1,2,600.0,1200.0,832.79,367.21
C-010,Customer 10,SMB,SKU-E,1,6,2000.0,12000.0,6101.1,5898.9
C-010,Customer 10,SMB,SKU-D,2,4,450.0,1800.0,1143.64,656.36
C-010,Customer 10,SMB,SKU-C,2,1,3500.0,3500.0,1597.99,1902.01
C-010,Customer 10,SMB,SKU-F,2,2,600.0,1200.0,863.88,336.12
C-010,Customer 10,SMB,SKU-E,2,6,2000.0,12000.0,6152.75,5847.25
C-010,Customer 10,SMB,SKU-D,3,3,450.0,1350.0,889.46,460.54
C-010,Customer 10,SMB,SKU-C,3,1,3500.0,3500.0,1605.46,1894.54
C-010,Customer 10,SMB,SKU-F,3,2,600.0,1200.0,818.84,381.16
C-010,Customer 10,SMB,SKU-E,3,6,2000.0,12000.0,6057.93,5942.07
C-010,Customer 10,SMB,SKU-D,4,5,450.0,2250.0,1456.02,793.98
C-010,Customer 10,SMB,SKU-F,4,3,600.0,1800.0,1248.85,551.15
C-010,Customer 10,SMB,SKU-E,4,6,2000.0,12000.0,6172.81,5827.19
C-010,Customer 10,SMB,SKU-D,5,5,450.0,2250.0,1474.57,775.43
C-010,Customer 10,SMB,SKU-F,5,2,600.0,1200.0,822.0,378.0
C-010,Customer 10,SMB,SKU-E,5,4,2000.0,8000.0,4025.82,3974.18
C-010,Customer 10,SMB,SKU-D,6,4,450.0,1800.0,1139.62,660.38
C-010,Customer 10,SMB,SKU-C,6,1,3500.0,3500.0,1563.93,1936.07
C-010,Customer 10,SMB,SKU-F,6,1,600.0,600.0,424.51,175.49
C-010,Customer 10,SMB,SKU-E,6,6,2000.0,12000.0,6094.71,5905.29
C-010,Customer 10,SMB,SKU-D,7,4,450.0,1800.0,1404.13,395.87
C-010,Customer 10,SMB,SKU-F,7,2,600.0,1200.0,881.95,318.05
C-010,Customer 10,SMB,SKU-E,7,6,2000.0,12000.0,6257.28,5742.72
C-010,Customer 10,SMB,SKU-D,8,4,450.0,1800.0,1392.46,407.54
C-010,Customer 10,SMB,SKU-C,8,1,3500.0,3500.0,1632.47,1867.53
C-010,Customer 10,SMB,SKU-F,8,2,600.0,1200.0,862.03,337.97
C-010,Customer 10,SMB,SKU-E,8,5,2000.0,10000.0,5375.58,4624.42
C-010,Customer 10,SMB,SKU-D,9,4,450.0,1800.0,1428.2,371.8
C-010,Customer 10,SMB,SKU-C,9,2,3500.0,7000.0,3277.22,3722.78
C-010,Customer 10,SMB,SKU-F,9,2,600.0,1200.0,902.71,297.29
C-010,Customer 10,SMB,SKU-E,9,5,2000.0,10000.0,5360.68,4639.32
C-010,Customer 10,SMB,SKU-D,10,7,450.0,3150.0,2167.64,982.36
C-010,Customer 10,SMB,SKU-C,10,1,3500.0,3500.0,1616.18,1883.82
C-010,Customer 10,SMB,SKU-F,10,2,600.0,1200.0,897.37,302.63
C-010,Customer 10,SMB,SKU-E,10,5,2000.0,10000.0,5100.78,4899.22
C-010,Customer 10,SMB,SKU-D,11,8,463.5,3708.0,2576.82,1131.18
C-010,Customer 10,SMB,SKU-F,11,2,600.0,1200.0,908.44,291.56
C-010,Customer 10,SMB,SKU-E,11,4,2000.0,8000.0,4255.16,3744.84
C-010,Customer 10,SMB,SKU-D,12,9,463.5,4171.5,2902.28,1269.22
C-010,Customer 10,SMB,SKU-C,12,1,3500.0,3500.0,1667.87,1832.13
C-010,Customer 10,SMB,SKU-F,12,2,600.0,1200.0,873.77,326.23
C-010,Customer 10,SMB,SKU-E,12,4,2000.0,8000.0,4295.25,3704.75
C-011,Customer 11,SMB,SKU-A,1,4,1200.0,4800.0,2589.62,2210.38
C-011,Customer 11,SMB,SKU-E,1,2,2000.0,4000.0,2049.29,1950.71
C-011,Customer 11,SMB,SKU-B,1,1,800.0,800.0,467.2,332.8
C-011,Customer 11,SMB,SKU-A,2,5,1200.0,6000.0,3233.6,2766.4
C-011,Customer 11,SMB,SKU-E,2,1,2000.0,2000.0,990.76,1009.24
C-011,Customer 11,SMB,SKU-B,2,2,800.0,1600.0,985.4,614.6
C-011,Customer 11,SMB,SKU-A,3,4,1200.0,4800.0,2600.5,2199.5
C-011,Customer 11,SMB,SKU-E,3,1,2000.0,2000.0,977.51,1022.49
C-011,Customer 11,SMB,SKU-B,3,1,800.0,800.0,474.32,325.68
C-011,Customer 11,SMB,SKU-A,4,3,1200.0,3600.0,1940.63,1659.37
C-011,Customer 11,SMB,SKU-E,4,2,2000.0,4000.0,2019.05,1980.95
C-011,Customer 11,SMB,SKU-B,4,1,800.0,800.0,486.35,313.65
C-011,Customer 11,SMB,SKU-A,5,3,1200.0,3600.0,1987.56,1612.44
C-011,Customer 11,SMB,SKU-E,5,2,2000.0,4000.0,1945.46,2054.54
C-011,Customer 11,SMB,SKU-B,5,1,800.0,800.0,484.07,315.93
C-011,Customer 11,SMB,SKU-A,6,3,1200.0,3600.0,2011.71,1588.29
C-011,Customer 11,SMB,SKU-E,6,1,2000.0,2000.0,999.88,1000.12
C-011,Customer 11,SMB,SKU-B,6,2,800.0,1600.0,967.32,632.68
C-011,Customer 11,SMB,SKU-A,7,5,1200.0,6000.0,3461.45,2538.55
C-011,Customer 11,SMB,SKU-E,7,2,2000.0,4000.0,2074.48,1925.52
C-011,Customer 11,SMB,SKU-B,7,4,800.0,3200.0,1964.35,1235.65
C-011,Customer 11,SMB,SKU-A,8,5,1200.0,6000.0,3461.73,2538.27
C-011,Customer 11,SMB,SKU-E,8,1,2000.0,2000.0,1038.19,961.81
C-011,Customer 11,SMB,SKU-B,8,5,800.0,4000.0,2553.02,1446.98
C-011,Customer 11,SMB,SKU-A,9,3,1200.0,3600.0,2138.3,1461.7
C-011,Customer 11,SMB,SKU-E,9,1,2000.0,2000.0,1053.88,946.12
C-011,Customer 11,SMB,SKU-B,9,5,800.0,4000.0,2492.65,1507.35
C-011,Customer 11,SMB,SKU-A,10,4,1200.0,4800.0,2730.07,2069.93
C-011,Customer 11,SMB,SKU-E,10,1,2000.0,2000.0,1042.7,957.3
C-011,Customer 11,SMB,SKU-B,10,5,800.0,4000.0,2537.45,1462.55
C-011,Customer 11,SMB,SKU-A,11,6,1200.0,7200.0,4073.1,3126.9
C-011,Customer 11,SMB,SKU-B,11,5,800.0,4000.0,2491.68,1508.32
C-011,Customer 11,SMB,SKU-A,12,4,1200.0,4800.0,2774.45,2025.55
C-011,Customer 11,SMB,SKU-B,12,5,800.0,4000.0,2447.9,1552.1
C-012,Customer 12,Mid-Market,SKU-F,1,10,576.8,5768.0,3968.59,1799.41
C-012,Customer 12,Mid-Market,SKU-E,1,28,1960.41,54891.48,28075.36,26816.12
C-012,Customer 12,Mid-Market,SKU-B,1,2,779.06,1558.12,933.22,624.9
C-012,Customer 12,Mid-Market,SKU-C,1,21,3439.67,72233.07,33250.78,38982.29
C-012,Customer 12,Mid-Market,SKU-F,2,7,591.22,4138.54,2879.7,1258.84
C-012,Customer 12,Mid-Market,SKU-E,2,26,1955.74,50849.24,24774.05,26075.19
C-012,Customer 12,Mid-Market,SKU-B,2,1,783.86,783.86,477.78,306.08
C-012,Customer 12,Mid-Market,SKU-C,2,32,3404.74,108951.68,47906.91,61044.77
C-012,Customer 12,Mid-Market,SKU-F,3,10,580.92,5809.2,4027.18,1782.02
C-012,Customer 12,Mid-Market,SKU-E,3,32,1984.08,63490.56,31762.66,31727.9
C-012,Customer 12,Mid-Market,SKU-B,3,1,784.0,784.0,457.57,326.43
C-012,Customer 12,Mid-Market,SKU-C,3,27,3433.68,92709.36,41611.55,51097.81
C-012,Customer 12,Mid-Market,SKU-F,4,9,592.13,5329.17,3755.73,1573.44
C-012,Customer 12,Mid-Market,SKU-E,4,30,1940.85,58225.5,28762.06,29463.44
C-012,Customer 12,Mid-Market,SKU-B,4,2,789.24,1578.48,965.74,612.74
C-012,Customer 12,Mid-Market,SKU-C,4,22,3458.03,76076.66,34883.07,41193.59
C-012,Customer 12,Mid-Market,SKU-F,5,11,576.48,6341.28,4461.19,1880.09
C-012,Customer 12,Mid-Market,SKU-E,5,26,1944.96,50568.96,24566.37,26002.59
C-012,Customer 12,Mid-Market,SKU-B,5,1,784.81,784.81,484.08,300.73
C-012,Customer 12,Mid-Market,SKU-C,5,19,3419.13,64963.47,29621.9,35341.57
C-012,Customer 12,Mid-Market,SKU-F,6,9,584.9,5264.1,3711.34,1552.76
C-012,Customer 12,Mid-Market,SKU-E,6,24,1945.54,46692.96,22690.31,24002.65
C-012,Customer 12,Mid-Market,SKU-B,6,1,769.66,769.66,450.99,318.67
C-012,Customer 12,Mid-Market,SKU-C,6,25,3478.8,86970.0,39583.83,47386.17
C-012,Customer 12,Mid-Market,SKU-F,7,11,577.91,6357.01,4776.92,1580.09
C-012,Customer 12,Mid-Market,SKU-E,7,22,1988.95,43756.9,22568.99,21187.91
C-012,Customer 12,Mid-Market,SKU-B,7,4,789.6,3158.4,2009.16,1149.24
C-012,Customer 12,Mid-Market,SKU-C,7,23,3475.75,79942.25,38706.74,41235.51
C-012,Customer 12,Mid-Market,SKU-F,8,10,581.47,5814.7,4330.46,1484.24
C-012,Customer 12,Mid-Market,SKU-E,8,18,1951.19,35121.42,18098.29,17023.13
C-012,Customer 12,Mid-Market,SKU-B,8,4,792.11,3168.44,2003.07,1165.37
C-012,Customer 12,Mid-Market,SKU-C,8,32,3458.33,110666.56,51627.97,59038.59
C-012,Customer 12,Mid-Market,SKU-F,9,12,592.39,7108.68,5177.48,1931.2
C-012,Customer 12,Mid-Market,SKU-E,9,23,1978.12,45496.76,23343.89,22152.87
C-012,Customer 12,Mid-Market,SKU-B,9,4,778.35,3113.4,1947.28,1166.12
C-012,Customer 12,Mid-Market,SKU-C,9,25,3366.35,84158.75,40491.79,43666.96
C-012,Customer 12,Mid-Market,SKU-F,10,10,582.86,5828.6,4244.53,1584.07
C-012,Customer 12,Mid-Market,SKU-E,10,17,1961.67,33348.39,17194.93,16153.46
C-012,Customer 12,Mid-Market,SKU-B,10,5,782.77,3913.85,2529.79,1384.06
C-012,Customer 12,Mid-Market,SKU-C,10,22,3413.81,75103.82,35671.43,39432.39
