customer_id,product,channel,segment,seats_initial,renewal_month,discount_pct,acquisition_week,acquisition_date,rep_id,status
CUST-0052,Product 4,Direct Sales,Enterprise,91,11,0.1191,-62,pre-period,REP-004,active
CUST-0053,Product 1,Direct Sales,Enterprise,175,12,0.1714,-123,pre-period,REP-003,active
CUST-0054,Product 4,Direct Sales,Enterprise,128,2,0.1769,-49,pre-period,REP-006,active
CUST-0055,Product 3,Direct Sales,Mid-Market,34,6,0.1105,-145,pre-period,REP-003,active
CUST-0056,Product 5,Direct Sales,Enterprise,146,10,0.1757,-94,pre-period,REP-005,active
CUST-0057,Product 8,Direct Sales,Enterprise,133,4,0.1941,-117,pre-period,REP-006,active
CUST-0058,Product 4,Direct Sales,Enterprise,149,3,0.1557,-71,pre-period,REP-004,active
CUST-0059,Product 2,Direct Sales,Mid-Market,43,11,0.2002,-144,pre-period,REP-004,active
CUST-0060,Product 5,Direct Sales,Mid-Market,33,1,0.143,-64,pre-period,REP-005,active
CUST-0061,Product 5,Direct Sales,Enterprise,121,2,0.1765,-88,pre-period,REP-005,active
CUST-0062,Product 6,Direct Sales,Enterprise,69,11,0.1975,-67,pre-period,REP-005,active
CUST-0063,Product 8,Direct Sales,Mid-Market,26,2,0.1492,-94,pre-period,REP-006,active
CUST-0064,Product 3,Direct Sales,Mid-Market,39,3,0.205,-32,pre-period,REP-005,active
CUST-0065,Product 4,Direct Sales,Mid-Market,21,5,0.16,-39,pre-period,REP-001,active
CUST-0066,Product 8,Direct Sales,Mid-Market,27,2,0.1266,-71,pre-period,REP-001,active
CUST-0067,Product 8,Direct Sales,Mid-Market,44,8,0.1571,-102,pre-period,REP-004,active
CUST-0068,Product 1,Direct Sales,Mid-Market,49,12,0.2172,-63,pre-period,REP-005,active
CUST-0069,Product 8,Direct Sales,Enterprise,94,11,0.1627,-105,pre-period,REP-003,active
CUST-0070,Product 2,Direct Sales,Enterprise,102,4,0.134,-59,pre-period,REP-001,active
CUST-0071,Product 2,Direct Sales,Mid-Market,31,2,0.1352,-139,pre-period,REP-003,active
CUST-0072,Product 8,Direct Sales,Enterprise,137,5,0.1878,-67,pre-period,REP-006,active
CUST-0073,Product 5,Direct Sales,Enterprise,87,9,0.1513,-144,pre-period,REP-005,active
CUST-0074,Product 4,Direct Sales,Enterprise,155,8,0.1362,-28,pre-period,REP-005,active
CUST-0075,Product 1,Direct Sales,Enterprise,158,12,0.1029,-37,pre-period,REP-003,active
CUST-0076,Product 8,Direct Sales,Enterprise,87,7,0.1265,-47,pre-period,REP-004,active
CUST-0077,Product 1,Direct Sales,Mid-Market,55,12,0.1829,-69,pre-period,REP-001,active
CUST-0078,Product 6,Direct Sales,Enterprise,146,8,0.2227,-25,pre-period,REP-006,active
CUST-0079,Product 1,Direct Sales,Enterprise,168,1,0.1753,-73,pre-period,REP-006,active
CUST-0080,Product 8,Direct Sales,Mid-Market,49,2,0.1494,-91,pre-period,REP-001,active
CUST-0081,Product 6,Partner,SMB,8,1,0.1523,-149,pre-period,REP-008,active
CUST-0082,Product 8,Partner,Enterprise,42,2,0.1676,-32,pre-period,REP-010,active
CUST-0083,Product 5,Partner,SMB,8,11,0.118,-23,pre-period,REP-010,active
CUST-0084,Product 4,Partner,Mid-Market,25,4,0.1357,-50,pre-period,REP-010,active
CUST-0085,Product 2,Partner,Mid-Market,19,5,0.1467,-104,pre-period,REP-009,active
CUST-0086,Product 5,Partner,SMB,4,1,0.1074,-45,pre-period,REP-009,active
CUST-0087,Product 3,Partner,Mid-Market,15,12,0.1997,-113,pre-period,REP-010,active
CUST-0088,Product 4,Partner,SMB,5,12,0.1958,-38,pre-period,REP-008,active
CUST-0089,Product 4,Partner,SMB,8,7,0.1508,-136,pre-period,REP-010,active
CUST-0090,Product 7,Partner,Mid-Market,36,10,0.1351,-39,pre-period,REP-009,active
CUST-0091,Product 4,Partner,Mid-Market,31,1,0.1813,-93,pre-period,REP-009,active
CUST-0092,Product 4,Partner,SMB,10,5,0.1743,-39,pre-period,REP-010,active
CUST-0093,Product 8,Partner,Mid-Market,24,6,0.1486,-130,pre-period,REP-009,active
CUST-0094,Product 1,Partner,Mid-Market,27,8,0.1556,-35,pre-period,REP-008,active
CUST-0095,Product 1,Partner,SMB,8,6,0.1207,-38,pre-period,REP-008,active
CUST-0096,Product 1,Partner,Enterprise,95,1,0.1503,-82,pre-period,REP-009,active
CUST-0097,Product 1,Partner,Mid-Market,34,2,0.1364,-93,pre-period,REP-009,active
CUST-0098,Product 4,Partner,Mid-Market,36,8,0.1313,-40,pre-period,REP-009,active
CUST-0099,Product 4,Partner,Enterprise,88,3,0.1593,-103,pre-period,REP-008,active
CUST-0100,Product 8,Partner,Mid-Market,33,2,0.161,-101,pre-period,REP-008,active
CUST-0101,Product 3,Partner,Mid-Market,30,8,0.1322,-15,pre-period,REP-008,active
CUST-0102,Product 1,Partner,SMB,11,9,0.1219,-144,pre-period,REP-010,active
CUST-0103,Product 8,Partner,Mid-Market,29,12,0.1497,-147,pre-period,REP-008,active
CUST-0104,Product 8,Partner,Mid-Market,14,5,0.1799,-109,pre-period,REP-009,active
CUST-0105,Product 3,Partner,SMB,4,2,0.1521,-98,pre-period,REP-009,churned
CUST-0106,Product 7,Partner,SMB,7,10,0.1321,-102,pre-period,REP-010,active
CUST-0107,Product 8,Partner,Enterprise,93,4,0.1667,-60,pre-period,REP-009,churned
CUST-0108,Product 3,Partner,Mid-Market,31,3,0.1168,-103,pre-period,REP-008,active
CUST-0109,Product 8,Partner,Enterprise,93,1,0.0885,-62,pre-period,REP-009,active
CUST-0110,Product 1,Partner,Mid-Market,36,8,0.1673,-14,pre-period,REP-008,active
CUST-0111,Product 4,Partner,Mid-Market,20,10,0.1327,-55,pre-period,REP-009,active
CUST-0112,Product 2,Partner,SMB,10,8,0.1672,-38,pre-period,REP-008,active
CUST-0113,Product 1,Partner,Mid-Market,20,12,0.1112,-50,pre-period,REP-009,active
CUST-0114,Product 8,Partner,Enterprise,83,10,0.1584,-93,pre-period,REP-009,active
CUST-0115,Product 5,Partner,Mid-Market,29,2,0.1676,-119,pre-period,REP-010,active
CUST-0116,Product 6,Partner,Enterprise,58,2,0.1152,-98,pre-period,REP-010,active
CUST-0117,Product 6,Partner,SMB,8,11,0.1758,-23,pre-period,REP-010,active
CUST-0118,Product 1,Partner,Mid-Market,24,9,0.1584,-73,pre-period,REP-008,active
CUST-0119,Product 8,Partner,Mid-Market,15,5,0.1351,-76,pre-period,REP-009,active
CUST-0120,Product 8,Partner,Mid-Market,14,5,0.1519,-141,pre-period,REP-008,active
CUST-0121,Product 4,Partner,SMB,5,3,0.1464,-22,pre-period,REP-009,active
CUST-0122,Product 4,Partner,Enterprise,109,7,0.1532,-59,pre-period,REP-010,active
CUST-0123,Product 3,Partner,Mid-Market,34,11,0.16,-44,pre-period,REP-010,active
CUST-0124,Product 4,Partner,Mid-Market,32,9,0.1421,-64,pre-period,REP-008,active
CUST-0125,Product 4,Partner,Enterprise,92,11,0.1361,-15,pre-period,REP-008,active
CUST-0126,Product 7,Partner,Mid-Market,35,3,0.1135,-61,pre-period,REP-009,active
CUST-0127,Product 5,Partner,Mid-Market,13,11,0.1545,-70,pre-period,REP-008,active
CUST-0128,Product 7,Partner,Mid-Market,16,11,0.1469,-82,pre-period,REP-009,active
CUST-0129,Product 1,Partner,Mid-Market,34,8,0.176,-143,pre-period,REP-008,active
CUST-0130,Product 7,Partner,Mid-Market,26,1,0.1144,-130,pre-period,REP-010,active
CUST-0131,Product 1,Partner,Mid-Market,27,5,0.1499,-114,pre-period,REP-008,active
CUST-0132,Product 1,Partner,Enterprise,68,5,0.1168,-60,pre-period,REP-009,active
CUST-0133,Product 3,Partner,Mid-Market,15,11,0.179,-71,pre-period,REP-009,active
CUST-0134,Product 8,Partner,Mid-Market,18,1,0.1551,-23,pre-period,REP-008,active
CUST-0135,Product 1,Partner,SMB,3,12,0.1705,-56,pre-period,REP-008,active
CUST-0136,Product 1,Partner,SMB,10,5,0.1234,-31,pre-period,REP-010,active
CUST-0137,Product 4,Partner,Mid-Market,36,11,0.1697,-40,pre-period,REP-009,active
CUST-0138,Product 8,Partner,SMB,7,2,0.1645,-134,pre-period,REP-010,active
CUST-0139,Product 8,Partner,SMB,7,12,0.1767,-48,pre-period,REP-008,active
CUST-0140,Product 1,Partner,Enterprise,46,3,0.1844,-107,pre-period,REP-008,active
CUST-0141,Product 3,Partner,Enterprise,83,8,0.1606,-43,pre-period,REP-010,active
CUST-0142,Product 6,Partner,Enterprise,106,8,0.1865,-32,pre-period,REP-009,active
CUST-0143,Product 8,Partner,SMB,7,9,0.1096,-36,pre-period,REP-009,active
CUST-0144,Product 6,Partner,Mid-Market,15,5,0.1895,-65,pre-period,REP-010,active
CUST-0145,Product 4,Partner,SMB,10,2,0.1911,-36,pre-period,REP-010,active
CUST-0146,Product 4,Partner,Enterprise,57,7,0.1402,-14,pre-period,REP-008,active
CUST-0147,Product 6,Partner,SMB,4,7,0.16,-113,pre-period,REP-010,active
CUST-0148,Product 2,Partner,SMB,6,11,0.1292,-88,pre-period,REP-009,active
CUST-0149,Product 8,Partner,SMB,5,12,0.1432,-26,pre-period,REP-010,active
CUST-0150,Product 8,Partner,Mid-Market,24,2,0.1319,-41,pre-period,REP-009,active
CUST-0151,Product 6,Partner,Mid-Market,30,8,0.1378,-78,pre-period,REP-010,active
CUST-0152,Product 5,Partner,SMB,8,11,0.148,-119,pre-period,REP-010,active
CUST-0153,Product 8,Partner,Enterprise,96,3,0.1149,-66,pre-period,REP-009,churned
CUST-0154,Product 5,Partner,Mid-Market,14,8,0.1619,-116,pre-period,REP-009,active
CUST-0155,Product 6,Partner,Mid-Market,32,2,0.1388,-140,pre-period,REP-008,active
CUST-0156,Product 1,Partner,Mid-Market,24,11,0.1351,-13,pre-period,REP-008,active
CUST-0157,Product 6,Partner,Mid-Market,14,7,0.1191,-144,pre-period,REP-008,active
CUST-0158,Product 4,Partner,Mid-Market,33,7,0.1748,-134,pre-period,REP-008,active
CUST-0159,Product 8,Partner,Mid-Market,25,4,0.1471,-44,pre-period,REP-008,active
CUST-0160,Product 5,Partner,Enterprise,98,9,0.1349,-58,pre-period,REP-010,active
CUST-0161,Product 6,Partner,SMB,7,3,0.1078,-43,pre-period,REP-008,active
CUST-0162,Product 4,Partner,Mid-Market,31,11,0.1578,-66,pre-period,REP-008,active
CUST-0163,Product 4,Partner,Mid-Market,22,3,0.166,-90,pre-period,REP-008,active
CUST-0164,Product 5,Partner,Mid-Market,17,11,0.1481,-110,pre-period,REP-008,active
CUST-0165,Product 1,Partner,Mid-Market,25,10,0.1715,-111,pre-period,REP-008,active
CUST-0166,Product 4,Partner,Enterprise,40,12,0.1502,-94,pre-period,REP-010,active
CUST-0167,Product 3,Partner,SMB,6,12,0.1541,-114,pre-period,REP-009,active
CUST-0168,Product 4,Partner,Enterprise,87,9,0.1474,-82,pre-period,REP-010,active
CUST-0169,Product 4,Partner,Mid-Market,25,7,0.1644,-148,pre-period,REP-010,active
CUST-0170,Product 4,Partner,Enterprise,89,8,0.1084,-102,pre-period,REP-010,active
CUST-0171,Product 1,Partner,Mid-Market,15,10,0.175,-73,pre-period,REP-009,churned
CUST-0172,Product 1,Partner,Mid-Market,22,11,0.1656,-74,pre-period,REP-010,active
CUST-0173,Product 1,Partner,Mid-Market,28,9,0.1688,-108,pre-period,REP-010,active
CUST-0174,Product 2,Partner,SMB,10,8,0.142,-113,pre-period,REP-009,active
CUST-0175,Product 5,Partner,SMB,9,12,0.1485,-112,pre-period,REP-008,active
CUST-0176,Product 5,Partner,SMB,7,9,0.1796,-79,pre-period,REP-010,active
CUST-0177,Product 8,Partner,Mid-Market,19,4,0.17,-109,pre-period,REP-008,active
CUST-0178,Product 7,Partner,SMB,11,6,0.1746,-14,pre-period,REP-009,active
CUST-0179,Product 8,Partner,Enterprise,67,10,0.118,-138,pre-period,REP-010,active
CUST-0180,Product 6,Partner,Enterprise,92,12,0.1641,-122,pre-period,REP-010,active
CUST-0181,Product 4,Inside Sales,SMB,5,4,0.1007,-148,pre-period,REP-015,active
CUST-0182,Product 3,Inside Sales,SMB,6,9,0.0576,-73,pre-period,REP-014,active
CUST-0183,Product 3,Inside Sales,Mid-Market,14,2,0.0785,-108,pre-period,REP-014,active
CUST-0184,Product 1,Inside Sales,SMB,4,8,0.0783,-109,pre-period,REP-012,active
CUST-0185,Product 4,Inside Sales,Mid-Market,9,1,0.0917,-49,pre-period,REP-014,active
CUST-0186,Product 3,Inside Sales,SMB,4,1,0.0792,-25,pre-period,REP-013,churned
CUST-0187,Product 6,Inside Sales,SMB,4,10,0.1193,-71,pre-period,REP-015,active
CUST-0188,Product 2,Inside Sales,SMB,4,11,0.0923,-71,pre-period,REP-011,active
CUST-0189,Product 2,Inside Sales,SMB,5,11,0.0861,-48,pre-period,REP-011,active
CUST-0190,Product 4,Inside Sales,SMB,6,6,0.0902,-54,pre-period,REP-017,active
CUST-0191,Product 2,Inside Sales,Mid-Market,19,11,0.0535,-37,pre-period,REP-015,active
CUST-0192,Product 2,Inside Sales,Enterprise,46,8,0.0868,-131,pre-period,REP-017,active
CUST-0193,Product 5,Inside Sales,SMB,4,6,0.1172,-68,pre-period,REP-012,active
CUST-0194,Product 6,Inside Sales,Mid-Market,21,12,0.09,-87,pre-period,REP-013,active
CUST-0195,Product 8,Inside Sales,SMB,6,10,0.0317,-129,pre-period,REP-015,active
CUST-0196,Product 5,Inside Sales,Mid-Market,13,9,0.0662,-19,pre-period,REP-013,active
CUST-0197,Product 2,Inside Sales,Mid-Market,21,11,0.09,-48,pre-period,REP-012,active
CUST-0198,Product 2,Inside Sales,SMB,4,7,0.0984,-21,pre-period,REP-013,active
CUST-0199,Product 8,Inside Sales,SMB,3,8,0.0489,-127,pre-period,REP-012,active
CUST-0200,Product 8,Inside Sales,SMB,3,8,0.0746,-64,pre-period,REP-012,active
CUST-0201,Product 4,Inside Sales,SMB,3,2,0.0917,-63,pre-period,REP-017,active
CUST-0202,Product 1,Inside Sales,SMB,5,11,0.0906,-112,pre-period,REP-014,churned
CUST-0203,Product 8,Inside Sales,Mid-Market,20,6,0.0634,-59,pre-period,REP-014,active
CUST-0204,Product 6,Inside Sales,Mid-Market,17,9,0.0609,-20,pre-period,REP-012,active
CUST-0205,Product 1,Inside Sales,SMB,2,6,0.0989,-78,pre-period,REP-015,active
CUST-0206,Product 1,Inside Sales,SMB,5,2,0.0505,-118,pre-period,REP-012,active
CUST-0207,Product 1,Inside Sales,SMB,2,10,0.0694,-58,pre-period,REP-015,active
CUST-0208,Product 8,Inside Sales,SMB,3,11,0.1267,-39,pre-period,REP-013,active
CUST-0209,Product 2,Inside Sales,SMB,5,4,0.0849,-65,pre-period,REP-012,active
CUST-0210,Product 2,Inside Sales,Enterprise,65,1,0.0771,-63,pre-period,REP-013,active
CUST-0211,Product 4,Inside Sales,Mid-Market,15,5,0.0686,-121,pre-period,REP-013,churned
CUST-0212,Product 4,Inside Sales,Mid-Market,8,11,0.0671,-141,pre-period,REP-013,active
CUST-0213,Product 8,Inside Sales,Mid-Market,17,8,0.1037,-25,pre-period,REP-012,active
CUST-0214,Product 8,Inside Sales,SMB,2,6,0.0782,-130,pre-period,REP-011,active
CUST-0215,Product 6,Inside Sales,SMB,5,10,0.0425,-24,pre-period,REP-013,active
CUST-0216,Product 2,Inside Sales,SMB,6,1,0.0797,-17,pre-period,REP-017,active
CUST-0217,Product 4,Inside Sales,Mid-Market,13,5,0.0858,-42,pre-period,REP-017,active
CUST-0218,Product 3,Inside Sales,SMB,2,3,0.0396,-123,pre-period,REP-017,active
CUST-0219,Product 4,Inside Sales,Mid-Market,17,3,0.07,-89,pre-period,REP-012,churned
CUST-0220,Product 6,Inside Sales,SMB,5,1,0.0775,-35,pre-period,REP-014,active
CUST-0221,Product 1,Inside Sales,SMB,5,1,0.0791,-101,pre-period,REP-012,active
CUST-0222,Product 4,Inside Sales,Mid-Market,11,2,0.0748,-73,pre-period,REP-014,active
CUST-0223,Product 6,Inside Sales,SMB,5,11,0.0944,-21,pre-period,REP-012,active
CUST-0224,Product 4,Inside Sales,SMB,4,1,0.0948,-38,pre-period,REP-011,active
CUST-0225,Product 8,Inside Sales,Mid-Market,19,7,0.1149,-146,pre-period,REP-014,active
CUST-0226,Product 1,Inside Sales,Mid-Market,17,9,0.071,-47,pre-period,REP-013,active
CUST-0227,Product 5,Inside Sales,SMB,4,5,0.0787,-41,pre-period,REP-015,active
CUST-0228,Product 8,Inside Sales,SMB,4,6,0.068,-140,pre-period,REP-015,active
CUST-0229,Product 2,Inside Sales,SMB,6,4,0.0953,-47,pre-period,REP-012,active
CUST-0230,Product 5,Inside Sales,Mid-Market,21,3,0.1119,-49,pre-period,REP-011,active
CUST-0231,Product 8,Inside Sales,SMB,3,5,0.1027,-116,pre-period,REP-014,active
CUST-0232,Product 1,Inside Sales,Mid-Market,12,7,0.0816,-25,pre-period,REP-014,active
CUST-0233,Product 6,Inside Sales,SMB,5,9,0.0693,-144,pre-period,REP-011,active
CUST-0234,Product 3,Inside Sales,SMB,4,12,0.0784,-52,pre-period,REP-014,active
CUST-0235,Product 8,Inside Sales,SMB,2,9,0.0912,-91,pre-period,REP-013,active
CUST-0236,Product 1,Inside Sales,SMB,4,8,0.0856,-103,pre-period,REP-012,active
CUST-0237,Product 3,Inside Sales,SMB,3,4,0.0898,-136,pre-period,REP-014,active
CUST-0238,Product 5,Inside Sales,SMB,4,4,0.0826,-29,pre-period,REP-012,active
CUST-0239,Product 5,Inside Sales,SMB,3,3,0.0692,-31,pre-period,REP-013,active
CUST-0240,Product 8,Inside Sales,SMB,4,11,0.0758,-18,pre-period,REP-011,active
CUST-0241,Product 1,Inside Sales,SMB,6,5,0.0782,-42,pre-period,REP-015,active
CUST-0242,Product 4,Inside Sales,SMB,4,1,0.1143,-26,pre-period,REP-015,active
CUST-0243,Product 8,Inside Sales,SMB,5,2,0.0729,-28,pre-period,REP-015,active
CUST-0244,Product 8,Inside Sales,SMB,5,1,0.0656,-102,pre-period,REP-011,active
CUST-0245,Product 6,Inside Sales,Mid-Market,20,3,0.0482,-12,pre-period,REP-011,churned
CUST-0246,Product 4,Inside Sales,Mid-Market,12,6,0.1072,-74,pre-period,REP-017,active
CUST-0247,Product 1,Inside Sales,SMB,3,5,0.0783,-46,pre-period,REP-012,active
CUST-0248,Product 8,Inside Sales,Enterprise,47,8,0.1041,-87,pre-period,REP-014,active
CUST-0249,Product 1,Inside Sales,Mid-Market,20,9,0.0855,-42,pre-period,REP-013,active
CUST-0250,Product 1,Inside Sales,SMB,2,12,0.0707,-32,pre-period,REP-014,active
CUST-0251,Product 1,Inside Sales,SMB,5,11,0.0794,-25,pre-period,REP-012,active
CUST-0252,Product 8,Inside Sales,SMB,5,7,0.0924,-92,pre-period,REP-015,active
CUST-0253,Product 5,Inside Sales,SMB,2,2,0.071,-142,pre-period,REP-012,active
CUST-0254,Product 1,Inside Sales,SMB,3,6,0.0732,-101,pre-period,REP-012,active
CUST-0255,Product 8,Inside Sales,Mid-Market,20,3,0.0625,-72,pre-period,REP-015,active
CUST-0256,Product 4,Inside Sales,SMB,2,6,0.0819,-44,pre-period,REP-013,active
CUST-0257,Product 8,Inside Sales,SMB,5,6,0.1141,-121,pre-period,REP-011,active
CUST-0258,Product 8,Inside Sales,Mid-Market,20,8,0.0638,-77,pre-period,REP-014,active
CUST-0259,Product 6,Inside Sales,Enterprise,50,3,0.1071,-111,pre-period,REP-015,active
CUST-0260,Product 2,Inside Sales,SMB,3,8,0.074,-62,pre-period,REP-012,active
CUST-0261,Product 7,Inside Sales,SMB,6,7,0.0699,-31,pre-period,REP-013,active
CUST-0262,Product 5,Inside Sales,Enterprise,40,2,0.0671,-38,pre-period,REP-014,active
CUST-0263,Product 2,Inside Sales,Mid-Market,20,7,0.1288,-51,pre-period,REP-014,active
CUST-0264,Product 7,Inside Sales,SMB,5,4,0.0462,-112,pre-period,REP-013,active
CUST-0265,Product 8,Inside Sales,Mid-Market,12,12,0.0436,-94,pre-period,REP-012,active
CUST-0266,Product 5,Inside Sales,SMB,3,1,0.0811,-32,pre-period,REP-012,active
CUST-0267,Product 1,Inside Sales,Mid-Market,7,11,0.0642,-124,pre-period,REP-017,active
CUST-0268,Product 5,Inside Sales,Mid-Market,12,10,0.0523,-122,pre-period,REP-015,active
CUST-0269,Product 5,Inside Sales,SMB,2,9,0.0888,-125,pre-period,REP-014,active
CUST-0270,Product 4,Inside Sales,SMB,4,9,0.1032,-118,pre-period,REP-011,active
CUST-0271,Product 4,Inside Sales,SMB,5,12,0.0815,-65,pre-period,REP-013,active
CUST-0272,Product 2,Inside Sales,Enterprise,58,7,0.0903,-137,pre-period,REP-015,active
CUST-0273,Product 1,Inside Sales,Mid-Market,17,9,0.0706,-28,pre-period,REP-013,active
CUST-0274,Product 1,Inside Sales,Mid-Market,17,4,0.1107,-111,pre-period,REP-011,active
CUST-0275,Product 1,Inside Sales,Mid-Market,11,11,0.0757,-54,pre-period,REP-015,active
CUST-0276,Product 8,Inside Sales,SMB,4,1,0.0562,-115,pre-period,REP-011,active
CUST-0277,Product 2,Inside Sales,Enterprise,56,5,0.0972,-132,pre-period,REP-017,active
CUST-0278,Product 3,Inside Sales,Mid-Market,19,1,0.068,-69,pre-period,REP-012,active
CUST-0279,Product 1,Inside Sales,SMB,2,9,0.0553,-37,pre-period,REP-014,active
CUST-0280,Product 2,Inside Sales,Mid-Market,22,8,0.1027,-54,pre-period,REP-014,active
CUST-0281,Product 8,Inside Sales,SMB,4,10,0.0914,-149,pre-period,REP-011,active
CUST-0282,Product 4,Inside Sales,Mid-Market,12,6,0.0611,-41,pre-period,REP-012,active
CUST-0283,Product 2,Inside Sales,SMB,3,1,0.1117,-86,pre-period,REP-013,churned
CUST-0284,Product 8,Inside Sales,Enterprise,50,4,0.0694,-108,pre-period,REP-012,active
CUST-0285,Product 6,Inside Sales,SMB,2,12,0.0674,-124,pre-period,REP-012,active
CUST-0286,Product 5,Inside Sales,Enterprise,63,4,0.0925,-123,pre-period,REP-011,active
CUST-0287,Product 8,Inside Sales,Mid-Market,17,6,0.071,-108,pre-period,REP-014,active
CUST-0288,Product 2,Inside Sales,SMB,4,11,0.1163,-143,pre-period,REP-012,active
CUST-0289,Product 8,Inside Sales,SMB,5,12,0.0762,-30,pre-period,REP-015,active
CUST-0290,Product 8,Inside Sales,SMB,3,8,0.0645,-97,pre-period,REP-012,active
CUST-0291,Product 1,Inside Sales,Mid-Market,17,1,0.1046,-117,pre-period,REP-011,active
