txn_id,date,product_id,channel_id,qty,unit_price,currency,discount_pct,return_flag,region
TXN-014729,09/30/2024,PRD-0282,CH-042,19,32.08,JPY,0.25,0,Asia Pacific
TXN-001550,2024-06-08,PRD-0004,CH-029,27,70.35,EUR,0.2,FALSE,Europe
TXN-009500,2024-05-24,PRD-0482,CH-034,38,427.15,JPY,0,N,Asia Pacific
TXN-021691,2024-05-01,PRD-0123,CH-029,43,51.64,usd,0.05,N,North America
TXN-012013,2024-08-10,PRD-0246,CH-039,20,410.64,EUR,0.3,0,Europe
TXN-020527,2024-08-17,PRD-0498,CH-024,21,306.14,US Dollar,0,N,North America
TXN-022236,2024-10-02,PRD-0413,CH-003,33,490.96,EUR,0.2,N,Europe
TXN-014706,08/14/2024,PRD-0483,CH-031,34,88.62,US Dollar,30,N,North America
TXN-016639,11/10/2024,PRD-0076,CH-029,41,190.51,usd,0.25,N,North America
TXN-010600,2024-02-22,PRD-0049,CH-005,9,272.49,EUR,20,0,Europe
TXN-007506,2024-05-22,PRD-0158,CH-041,17,247.97,EUR,0,no,Europe
TXN-010940,03/12/2024,PRD-0429,CH-036,49,200.88,EUR,30,N,Europe
TXN-015201,2024-10-17,PRD-0059,CH-045,25,332.72,EUR,30,FALSE,Europe
TXN-009017,07/03/2024,PRD-0362,CH-013,39,138.61,JPY,0.2,FALSE,Asia Pacific
TXN-012620,07/31/2024,PRD-0199,CH-028,5,496.2,EUR,0,FALSE,Europe
TXN-009314,2024-01-02,PRD-0450,CH-030,3,389.47,usd,0.15,N,North America
TXN-006809,08/24/2024,PRD-0272,CH-011,10,215.95,BRL,0,N,Latin America
TXN-006134,2024-06-11,PRD-0231,CH-013,37,438.43,BRL,0,FALSE,Latin America
TXN-009266,03/24/2024,PRD-0070,CH-007,47,388.79,US Dollar,0.15,TRUE,North America
TXN-003164,2024-06-09,PRD-0185,CH-016,2,494.37,BRL,0.1,no,Latin America
TXN-017640,11/09/2024,PRD-0329,CH-032,42,448.49,BRL,0,N,Latin America
TXN-014759,07/07/2024,PRD-0195,CH-039,13,373.45,usd,0.15,FALSE,North America
TXN-019830,2024-04-04,PRD-0390,CH-008,49,202.4,JPY,30,Y,Asia Pacific
TXN-024701,2024-01-11,PRD-0206,CH-022,8,307.45,EUR,0.3,FALSE,Europe
TXN-012070,2024-11-11,prd-0351,CH-022,49,250.35,BRL,0,Y,Latin America
TXN-024147,2024-08-19,PRD-0193,CH-029,4,281.99,BRL,0.2,,Latin America
TXN-014794,2024-03-06,PRD-0391,CH-044,22,471.81,EUR,0.1,no,Europe
TXN-029489,2024-01-27,PRD-0110,CH-019,40,245.31,EUR,25,no,Europe
TXN-023475,01/26/2024,PRD-0080,CH-036,49,68.37,EUR,15,N,Europe
TXN-010877,2024-10-18,PRD-0460,CH-026,15,211.1,JPY,0,1,Asia Pacific
TXN-026005,2024-04-11,PRD-0236,CH-021,36,243.19,JPY,0.3,N,Asia Pacific
TXN-005368,07/11/2024,PRD-0270,CH-003,20,7.56,BRL,0.1,N,Latin America
TXN-015850,2024-09-02,PRD-0457,CH-008,43,94.81,JPY,25,FALSE,Asia Pacific
TXN-017668,2024-07-24,PRD-0013,CH-002,4,271.84,BRL,0,N,Latin America
TXN-007808,2024-10-02,PRD-0352,CH-011,38,417.17,BRL,20,no,Latin America
TXN-021929,09/04/2024,PRD-0366,CH-036,6,449.66,BRL,0,FALSE,Latin America
TXN-001434,2024-04-04,PRD-0450,CH-048,17,449.52,JPY,0,FALSE,Asia Pacific
TXN-013183,2024-03-28,PRD-0386  ,CH-032,40,312.8,USD,0.15,FALSE,North America
TXN-012977,01/31/2024,PRD-0203,CH-013,12,274.17,JPY,0,N,Asia Pacific
TXN-015209,2024-02-24,PRD-0085,CH-020,26,190.99,usd,25,N,North America
TXN-018128,2024-12-21,PRD-0323,CH-026,20,275.81,EUR,0,yes,Europe
TXN-018535,10/16/2024,PRD-0158,CH-013,8,455.23,EUR,0,0,Europe
TXN-003053,2024-12-05,PRD-0349,CH-043,50,210.1,USD,0.15,N,North America
TXN-022084,2024-12-29,PRD-0156,CH-014,33,316.16,JPY,5,FALSE,Asia Pacific
TXN-010538,2024-11-13,PRD-0376,CH-010,17,108.56,BRL,10,0,Latin America
TXN-029684,2024-01-08,PRD-0219,CH-015,8,41.84,JPY,20,FALSE,Asia Pacific
TXN-017168,12/29/2024,PRD-0064  ,CH-010,11,484.08,EUR,0.1,N,Europe
TXN-009136,2024-04-26,PRD-0274,CH-033,48,270.89,BRL,0,0,Latin America
TXN-013154,2024-05-06,PRD-0478,CH-014,24,172.29,BRL,0.15,yes,Latin America
TXN-000451,2024-08-11,PRD-0227,CH-033,44,216.7,USD,30,N,North America
TXN-024095,2024-04-09,PRD-0463,CH-048,13,324.2,EUR,0.05,no,Europe
TXN-014638,2024-03-14,PRD-0463,CH-006,35,268.62,JPY,0.2,N,Asia Pacific
TXN-012453,2024-05-30,PRD-0453,CH-035,11,103.26,EUR,0.2,no,Europe
TXN-006106,2024-04-01,prd-0442,CH-036,40,42.07,JPY,0.05,yes,Asia Pacific
TXN-026533,2024-05-27,PRD-0479,CH-028,5,412.42,EUR,0.15,no,Europe
TXN-021433,2024-10-21,PRD-0081,CH-027,46,233.27,US Dollar,25,N,North America
TXN-020174,06/09/2024,PRD-0448,CH-040,35,313.54,BRL,30,no,Latin America
TXN-023995,2024-10-14,PRD-0135,CH-003,47,181.74,JPY,0.1,N,Asia Pacific
TXN-029289,2024-05-24,PRD-0319,CH-005,13,32.54,BRL,0,no,Latin America
TXN-011805,2024-07-10,PRD-0222,CH-050,41,26.98,usd,0.05,N,North America
TXN-018240,2024-04-30,PRD-0421,CH-014,25,308.74,JPY,0.2,no,Asia Pacific
TXN-000082,2024-07-14,PRD-0492,CH-031,1,497.8,EUR,0.15,N,Europe
TXN-024359,2024-08-25,PRD-0067,CH-005,5,380.92,EUR,0.15,no,Europe
TXN-023254,2024-06-20,PRD-0246,CH-018,46,19.48,BRL,0,N,Latin America
TXN-004258,2024-01-07,prd-0114,CH-012,43,39.16,JPY,0,N,Asia Pacific
TXN-023092,11/01/2024,PRD-0233,CH-026,24,65.65,BRL,0.15,,Latin America
TXN-002873,10/23/2024,PRD-0068,CH-006,34,465.55,JPY,0.1,0,Asia Pacific
TXN-012942,2024-08-31,PRD-0128,CH-044,28,70.45,USD,10,0,North America
TXN-021854,2024-08-04,PRD-0275,CH-021,32,188.46,EUR,0.1,0,Europe
TXN-016543,2024-04-08,PRD-0423,CH-023,37,203.22,JPY,0.2,N,Asia Pacific
TXN-029837,10/22/2024,PRD-0061,CH-017,49,80.52,BRL,0.3,no,Latin America
TXN-016456,2024-06-12,PRD-0277,CH-009,40,249.67,JPY,0.15,FALSE,Asia Pacific
TXN-021080,2024-07-11,PRD-0258,CH-014,1,89.78,USD,0,no,North America
TXN-014427,2024-01-27,PRD-0255,CH-011,4,356.85,US Dollar,0,FALSE,North America
TXN-010332,2024-11-12,PRD-0279,CH-005,7,402.37,EUR,0,N,Europe
TXN-019484,2024-11-13,PRD-0159,CH-028,48,85.78,JPY,0,0,Asia Pacific
TXN-015629,2024-04-07,PRD-0360,CH-031,33,378.53,EUR,0,no,Europe
TXN-021122,2024-11-15,PRD-0335,CH-038,30,363.93,JPY,0.1,N,Asia Pacific
TXN-007697,03/04/2024,PRD-0220,CH-030,29,225.18,JPY,0.15,no,Asia Pacific
TXN-025523,2024-11-17,PRD-0196,CH-017,47,357.69,BRL,5,no,Latin America
TXN-023956,02/05/2024,PRD-0275,CH-005,44,126.4,JPY,25,FALSE,Asia Pacific
TXN-020373,2024-01-20,PRD-0488,CH-043,3,9.09,US Dollar,0.15,N,North America
TXN-003629,2024-01-23,PRD-0112,CH-007,2,238.52,EUR,0,0,Europe
TXN-005812,2024-03-16,PRD-0235,CH-005,8,83.94,BRL,0.05,0,Latin America
TXN-027524,06/17/2024,PRD-0041,CH-003,5,305.7,BRL,0.1,no,Latin America
TXN-010953,2024-03-31,PRD-0267,CH-011,8,244.46,EUR,0,FALSE,Europe
TXN-013389,12/07/2024,PRD-0375,CH-016,38,285.25,BRL,0,1,Latin America
TXN-019498,2024-02-23,PRD-0012,CH-030,1,289.04,JPY,0.05,0,Asia Pacific
TXN-019042,2024-04-20,PRD-0387,CH-032,9,286.81,BRL,0,TRUE,Latin America
TXN-011333,2024-03-24,PRD-0182,CH-019,9,400.57,USD,0.15,FALSE,North America
TXN-016245,2024-10-16,PRD-0061,CH-035,26,196.5,BRL,0,N,Latin America
TXN-024491,2024-06-19,prd-0194,CH-027,13,166.62,JPY,0.1,0,Asia Pacific
TXN-011131,2024-01-02,PRD-0492,CH-013,48,155.22,EUR,15,0,Europe
TXN-021169,2024-10-29,PRD-0467,CH-017,33,104.56,USD,25,,North America
TXN-006208,07/11/2024,PRD-0014,CH-029,46,422.56,JPY,0.2,N,Asia Pacific
TXN-021255,2024-07-25,PRD-0359,CH-041,4,122.21,BRL,0.3,0,Latin America
TXN-027207,2024-08-20,PRD-0404,CH-025,32,228.1,EUR,0,FALSE,Europe
TXN-022114,06/23/2024,PRD-0425,CH-019,15,308.87,JPY,0,no,Asia Pacific
TXN-025157,2024-06-16,PRD-0353,CH-030,40,373.1,JPY,0.25,0,Asia Pacific
TXN-000980,2024-02-16,PRD-0109,CH-029,36,34.8,BRL,0,FALSE,Latin America
TXN-019392,2024-08-09,PRD-0135,CH-042,43,198.58,US Dollar,0,1,North America
TXN-027923,2024-05-13,PRD-0316,CH-020,7,77.04,BRL,25,FALSE,Latin America
TXN-025438,2024-05-20,PRD-0157,CH-047,48,457.72,JPY,0.15,N,Asia Pacific
TXN-020003,2024-09-14,PRD-0344,CH-009,27,299.5,EUR,0,no,Europe
TXN-004005,01/12/2024,PRD-0429,CH-049,42,494.51,BRL,20,no,Latin America
TXN-020977,2024-10-01,PRD-0033,CH-023,37,469.34,EUR,0.1,N,Europe
TXN-005601,05/19/2024,PRD-0227,CH-003,2,450.56,EUR,20,N,Europe
TXN-008052,2024-03-08,PRD-0385,CH-022,43,405.49,JPY,0,N,Asia Pacific
TXN-022110,2024-09-11,PRD-0122,CH-005,47,235.88,BRL,20,0,Latin America
TXN-025193,2024-11-21,PRD-0367,CH-031,6,267.09,EUR,0,no,Europe
TXN-026534,06/10/2024,PRD-0454,CH-003,20,269.47,BRL,0.2,N,Latin America
TXN-006939,2024-04-15,prd-0253,CH-031,8,271.81,BRL,0.05,0,Latin America
TXN-000903,2024-09-19,PRD-0377,CH-040,37,266.21,JPY,0,0,Asia Pacific
TXN-010736,03/09/2024,PRD-0028,CH-038,22,131.68,JPY,0,0,Asia Pacific
TXN-022771,2024-07-14,PRD-0400,CH-007,44,266.88,JPY,25,Y,Asia Pacific
TXN-017126,2024-11-10,PRD-0046,CH-041,10,80.68,JPY,0,FALSE,Asia Pacific
TXN-004227,08/10/2024,PRD-0276,CH-028,25,218.39,BRL,0.25,Y,Latin America
TXN-017589,09/13/2024,PRD-0264,CH-038,31,392.78,BRL,15,0,Latin America
TXN-015004,2024-10-21,PRD-0316,CH-028,13,246.77,BRL,0,FALSE,Latin America
TXN-015136,2024-12-14,PRD-0444,CH-049,40,460.05,EUR,30,FALSE,Europe
TXN-009477,2024-08-24,PRD-0077,CH-045,20,107.3,usd,25,0,North America
TXN-006734,2024-08-31,PRD-0096,CH-039,30,390.48,usd,0,0,North America
TXN-002271,09/12/2024,PRD-0187,CH-004,41,392.9,JPY,5,FALSE,Asia Pacific
TXN-004328,2024-08-28,PRD-0007,CH-055,21,125.91,EUR,10,0,Europe
TXN-010342,2024-01-09,PRD-0113,CH-047,38,355.9,usd,10,N,North America
TXN-012495,2024-02-06,PRD-0198,CH-038,46,449.2,JPY,0,N,Asia Pacific
TXN-003069,2024-01-09,PRD-0486,CH-026,13,152.31,JPY,0,FALSE,Asia Pacific
TXN-018778,10/12/2024,PRD-0337,CH-048,16,499.52,usd,0.05,FALSE,North America
TXN-013165,10/02/2024,PRD-0190,CH-003,31,421.93,EUR,0,N,Europe
TXN-028647,01/21/2024,PRD-0258,CH-032,14,326.4,EUR,0.15,N,Europe
TXN-014604,2024-02-29,PRD-0500,CH-009,3,157.47,BRL,25,FALSE,Latin America
TXN-000548,2024-07-04,PRD-0352,CH-049,41,199.13,USD,0.1,no,North America
TXN-027644,2024-05-22,PRD-0444,CH-037,10,281.57,EUR,20,no,Europe
TXN-018684,2024-09-20,PRD-0024,CH-014,20,124.11,USD,0.25,N,North America
TXN-020485,09/25/2024,PRD-0074,CH-046,4,191.26,EUR,0.1,N,Europe
TXN-002085,07/10/2024,PRD-0271,CH-016,27,31.84,JPY,5,N,Asia Pacific
TXN-002711,12/10/2024,PRD-0411,CH-033,28,170.35,US Dollar,0.25,FALSE,North America
TXN-022194,11/29/2024,PRD-0115,CH-011,28,90.92,EUR,0,N,Europe
TXN-016285,2024-07-14,PRD-0305,CH-046,41,6.88,USD,0,0,North America
TXN-026009,2024-08-19,PRD-0356,CH-023,37,481.69,JPY,0.15,no,Asia Pacific
TXN-004214,2024-06-01,PRD-0369,CH-015,1,207.87,EUR,0.05,0,Europe
TXN-019002,2024-12-22,PRD-0029,CH-013,39,62.32,JPY,25,0,Asia Pacific
TXN-001658,04/06/2024,PRD-0126,CH-032,5,168.22,EUR,15,FALSE,Europe
TXN-023515,2024-06-10,PRD-0307,CH-040,42,95.97,JPY,0.1,FALSE,Asia Pacific
TXN-024969,2024-12-17,PRD-0202,CH-041,3,373.67,JPY,0,yes,Asia Pacific
TXN-004617,06/17/2024,PRD-0185,CH-006,4,271.22,USD,0.2,FALSE,North America
TXN-024391,2024-10-24,PRD-0194,CH-038,6,204.13,JPY,0.05,Y,Asia Pacific
TXN-024122,2024-07-02,PRD-0010,CH-047,37,268.76,EUR,0.15,N,Europe
TXN-003319,07/13/2024,PRD-0440,CH-007,36,313.71,BRL,0.1,0,Latin America
TXN-006541,2024-05-25,PRD-0220,CH-030,28,494.97,BRL,0.25,N,Latin America
TXN-028430,2024-12-26,PRD-0447,CH-048,35,324.58,JPY,25,N,Asia Pacific
TXN-016370,2024-12-29,PRD-0218,CH-018,37,487.93,JPY,0,no,Asia Pacific
TXN-029644,2024-04-23,PRD-0484,CH-023,25,464.35,BRL,0.25,yes,Latin America
TXN-006452,2024-08-01,PRD-0128,CH-038,32,55.75,JPY,0.15,FALSE,Asia Pacific
TXN-008991,2024-03-31,PRD-0342,CH-003,26,284.31,EUR,0,N,Europe
TXN-029927,2024-04-07,PRD-0110,CH-041,26,206.79,EUR,25,FALSE,Europe
TXN-009796,2024-02-20,PRD-0190,CH-028,4,61.92,US Dollar,0.15,0,North America
TXN-000182,2024-01-23,PRD-0376,CH-003,28,400.02,usd,0,N,North America
TXN-013313,2024-12-23,PRD-0185,CH-048,29,100.73,JPY,0,N,Asia Pacific
TXN-024897,2024-10-25,PRD-0446,CH-015,27,401.36,EUR,10,N,Europe
TXN-010951,2024-08-08,PRD-0117,CH-047,30,384.17,EUR,0.05,no,Europe
TXN-015170,2024-04-18,PRD-0280,CH-005,21,128.88,BRL,15,FALSE,Latin America
TXN-027265,2024-06-18,PRD-0357,CH-010,50,278.4,EUR,0.25,N,Europe
TXN-021949,2024-02-20,PRD-0259,CH-055,13,451.83,BRL,15,FALSE,Latin America
TXN-021521,11/08/2024,PRD-0225,CH-025,38,6.15,EUR,0,no,Europe
TXN-019007,2024-12-23,PRD-0044,CH-003,20,473.13,JPY,0.2,FALSE,Asia Pacific
TXN-007730,2024-04-11,PRD-0125,CH-036,42,228.64,EUR,0.15,N,Europe
TXN-004270,2024-08-09,PRD-0323,CH-030,17,208.82,EUR,0,N,Europe
TXN-024959,02/10/2024,PRD-0366,CH-019,42,343.45,BRL,0,0,Latin America
TXN-024918,2024-02-04,PRD-0409,CH-039,24,410.56,EUR,10,no,Europe
TXN-028478,11/17/2024,PRD-0405,CH-048,19,499.7,JPY,25,N,Asia Pacific
TXN-003776,2024-06-23,PRD-0406,CH-029,35,146.1,USD,0,N,North America
TXN-000107,2024-11-01,PRD-0456,CH-020,15,386.9,USD,0.3,no,North America
TXN-006314,2024-12-10,PRD-0206,CH-044,6,64.5,EUR,0,FALSE,Europe
TXN-029245,2024-09-14,PRD-0230  ,CH-034,11,150.51,USD,0.3,FALSE,North America
TXN-000942,03/13/2024,PRD-0267,CH-017,30,348.98,BRL,0,0,Latin America
TXN-004069,2024-12-11,PRD-0458,CH-006,19,364.82,JPY,0.3,N,Asia Pacific
TXN-003703,12/04/2024,PRD-0270,CH-033,39,492.08,BRL,5,0,Latin America
TXN-017700,11/12/2024,PRD-0098,CH-043,18,292.1,USD,20,0,North America
TXN-011525,2024-05-29,PRD-0317,CH-040,16,188.82,BRL,20,0,Latin America
TXN-028487,2024-07-30,PRD-0180  ,CH-038,48,472.96,usd,0,0,North America
TXN-001006,2024-06-11,PRD-0300,CH-022,25,357.74,usd,0.05,FALSE,North America
TXN-018380,2024-03-21,PRD-0446,CH-013,13,46.58,JPY,0.1,,Asia Pacific
TXN-001446,05/01/2024,PRD-0190,CH-048,34,130.93,JPY,0.15,no,Asia Pacific
TXN-008971,2024-03-22,PRD-0383,CH-007,14,461.94,JPY,0.15,N,Asia Pacific
TXN-011054,2024-09-23,PRD-0270,CH-002,22,238.83,US Dollar,0.15,N,North America
TXN-002942,2024-07-14,PRD-0015  ,CH-048,9,359.7,JPY,20,1,Asia Pacific
TXN-022589,2024-05-03,PRD-0219,CH-011,27,437.38,BRL,20,N,Latin America
TXN-008721,2024-11-27,PRD-0160,CH-036,37,169.29,JPY,15,N,Asia Pacific
TXN-012362,2024-01-04,PRD-0420  ,CH-029,27,279.45,usd,5,FALSE,North America
TXN-008787,2024-08-27,PRD-0231,CH-012,35,78.67,JPY,0.15,no,Asia Pacific
TXN-015435,10/12/2024,PRD-0148,CH-036,6,356.79,BRL,0.25,N,Latin America
TXN-007435,05/13/2024,PRD-0383,CH-006,15,86.99,JPY,0,,Asia Pacific
TXN-004692,2024-02-01,PRD-0491,CH-028,16,84.19,JPY,0,FALSE,Asia Pacific
TXN-016207,01/30/2024,PRD-0473,CH-041,38,138.04,BRL,20,no,Latin America
TXN-028782,2024-07-27,PRD-0401,CH-016,16,489.8,usd,0.15,FALSE,North America
TXN-028714,2024-12-25,PRD-0339,CH-001,8,61.03,JPY,20,N,Asia Pacific
TXN-019440,2024-08-25,PRD-0221,CH-015,5,261.17,USD,20,N,North America
TXN-013048,2024-01-17,PRD-0454,CH-042,19,405.07,JPY,0.3,Y,Asia Pacific
TXN-020966,2024-10-30,PRD-0316,CH-040,27,98.34,EUR,0,N,Europe
TXN-019378,2024-08-29,PRD-0483,CH-033,23,407.04,usd,0.05,0,North America
TXN-004072,2024-02-04,PRD-0210,CH-021,4,97.69,JPY,0,1,Asia Pacific
TXN-000155,2024-10-03,PRD-0463,CH-050,1,237.27,JPY,10,N,Asia Pacific
TXN-022778,2024-02-15,PRD-0300,CH-005,50,234.05,EUR,0,N,Europe
TXN-026869,2024-04-25,PRD-0115,CH-024,1,156.7,BRL,0.3,N,Latin America
TXN-019557,2024-11-15,PRD-0384,CH-001,12,7.72,BRL,0.15,1,Latin America
TXN-018849,2024-12-21,PRD-0277,CH-045,33,258.94,JPY,0,0,Asia Pacific
TXN-026394,2024-05-20,PRD-0215,CH-023,19,155.75,US Dollar,0.3,no,North America
TXN-009677,2024-12-05,PRD-0266,CH-006,49,344.33,JPY,0,N,Asia Pacific
TXN-012535,2024-06-14,PRD-0469,CH-025,8,162.2,USD,0,0,North America
TXN-028333,2024-11-19,PRD-0053,CH-011,5,281.35,BRL,0,N,Latin America
TXN-020271,2024-11-05,PRD-0258,CH-003,3,380.35,EUR,0.3,N,Europe
TXN-009717,2024-10-17,PRD-0311,CH-032,49,130.96,JPY,20,no,Asia Pacific
TXN-004656,08/07/2024,PRD-0112,CH-020,46,92.59,EUR,0,Y,Europe
TXN-025983,2024-01-01,PRD-0334,CH-038,23,465.18,JPY,0.15,0,Asia Pacific
TXN-025843,2024-02-21,PRD-0114,CH-030,42,275.39,EUR,0,N,Europe
TXN-000970,11/19/2024,PRD-0177,CH-024,40,331.34,BRL,0,FALSE,Latin America
TXN-025138,10/21/2024,PRD-0249,CH-018,24,277.08,USD,0,N,North America
TXN-013732,2024-10-12,PRD-0319  ,CH-038,48,105.57,JPY,0.2,FALSE,Asia Pacific
TXN-022105,06/18/2024,PRD-0033,CH-023,4,262.34,JPY,0.15,0,Asia Pacific
TXN-003957,2024-06-26,PRD-0101,CH-041,41,316.93,JPY,0.05,0,Asia Pacific
TXN-015720,2024-02-08,PRD-0414,CH-041,34,421.2,JPY,0.1,0,Asia Pacific
TXN-019910,2024-12-06,PRD-0181,CH-045,24,461.72,EUR,0.05,FALSE,Europe
TXN-028107,2024-10-08,PRD-0182,CH-025,5,150.27,JPY,25,FALSE,Asia Pacific
TXN-027386,2024-10-07,PRD-0114,CH-026,38,31.9,usd,0,FALSE,North America
TXN-017862,2024-08-08,PRD-0008,CH-015,20,151.81,BRL,0,TRUE,Latin America
TXN-022089,2024-03-05,PRD-0211,CH-031,29,437.58,US Dollar,10,FALSE,North America
TXN-017696,2024-10-21,PRD-0293,CH-050,30,417.98,EUR,0.3,0,Europe
TXN-003067,2024-11-24,PRD-0062,CH-032,1,8.23,EUR,0.05,N,Europe
TXN-015499,2024-03-25,PRD-0481,CH-016,38,66.75,JPY,0.3,FALSE,Asia Pacific
TXN-027593,2024-08-12,PRD-0228,CH-049,31,325.45,JPY,15,N,Asia Pacific
TXN-014695,2024-04-24,PRD-0344,CH-020,12,461.0,EUR,10,no,Europe
TXN-012033,2024-10-02,PRD-0120,CH-010,40,259.04,BRL,0.1,0,Latin America
TXN-014902,03/02/2024,PRD-0146,CH-055,24,409.88,EUR,0.3,0,Europe
TXN-007461,2024-09-15,PRD-0225,CH-018,15,266.32,usd,10,no,North America
TXN-011029,2024-03-26,PRD-0366,CH-046,24,223.94,USD,0,no,North America
TXN-008749,04/01/2024,PRD-0030,CH-043,32,87.84,USD,0,,North America
TXN-013854,2024-08-17,PRD-0402,CH-017,29,86.27,JPY,30,0,Asia Pacific
TXN-020877,2024-02-09,PRD-0116,CH-043,32,56.01,EUR,0.3,N,Europe
TXN-003143,2024-11-04,PRD-0119,CH-024,49,265.58,BRL,0,no,Latin America
TXN-019626,05/14/2024,PRD-0067,CH-023,15,383.71,BRL,0.15,FALSE,Latin America
TXN-021027,2024-06-01,PRD-0084,CH-038,13,10.52,BRL,0.15,N,Latin America
TXN-020969,2024-03-02,PRD-0482,CH-014,47,209.98,BRL,0.15,,Latin America
TXN-029990,2024-08-26,PRD-0321,CH-013,29,201.39,EUR,0,,Europe
TXN-026596,2024-01-08,PRD-0419,CH-041,44,442.18,EUR,25,N,Europe
TXN-007139,2024-04-29,PRD-0067,CH-034,12,81.42,USD,0.05,no,North America
TXN-018095,2024-08-04,PRD-0072,CH-044,49,5.22,BRL,0.2,N,Latin America
TXN-005430,07/23/2024,PRD-0269,CH-041,44,343.1,JPY,0.05,FALSE,Asia Pacific
TXN-000211,2024-04-11,PRD-0433,CH-008,15,142.87,JPY,0.1,FALSE,Asia Pacific
TXN-015831,2024-01-24,PRD-0002,CH-049,29,312.36,EUR,0.1,0,Europe
TXN-022956,2024-02-12,PRD-0107,CH-018,7,250.87,JPY,0,N,Asia Pacific
TXN-011650,2024-09-03,PRD-0412,CH-030,44,92.93,BRL,0.2,no,Latin America
TXN-004928,2024-01-20,PRD-0089,CH-022,27,300.35,JPY,0.15,0,Asia Pacific
TXN-015391,02/26/2024,PRD-0165,CH-032,1,493.44,JPY,0.3,N,Asia Pacific
TXN-006544,06/03/2024,PRD-0470,CH-009,35,436.44,BRL,0,N,Latin America
TXN-016945,03/15/2024,PRD-0161,CH-041,6,351.28,JPY,0.05,FALSE,Asia Pacific
TXN-017066,2024-03-30,PRD-0202,CH-008,39,107.75,JPY,20,FALSE,Asia Pacific
TXN-002575,2024-03-25,PRD-0182,CH-004,31,440.86,EUR,0,no,Europe
TXN-006755,2024-11-12,PRD-0190,CH-052,46,104.69,JPY,0,N,Asia Pacific
TXN-003971,2024-01-24,PRD-0498,CH-012,40,491.93,USD,0,N,North America
TXN-028584,2024-10-28,PRD-0091  ,CH-022,45,264.08,JPY,0,no,Asia Pacific
TXN-014408,2024-08-04,PRD-0443,CH-029,38,470.85,BRL,0.3,N,Latin America
TXN-006739,11/02/2024,PRD-0449,CH-027,11,341.65,JPY,0.2,N,Asia Pacific
